,w_knn,w_rf,w_svm,w_xgboost,f1
51,0.05243905313634556,0.6614567033837868,0.49710090150659136,0.743196280013532,0.535087387988613
141,0.09185609215396573,0.5776402339066998,0.4422939221228651,0.8857949146250432,0.535087387988613
265,0.08382825298490437,0.3420373781463486,0.2805046282909238,0.5155061628948637,0.535087387988613
321,0.16336427512263874,0.5341693955534381,0.5683586274778765,0.7551798049129281,0.535087387988613
78,0.6578558802005838,0.18461759527940624,0.7004623968140248,0.0158015853364738,0.5348281768515458
406,0.7167689621812484,0.6061994359942112,0.9921687966017737,0.07561731724285992,0.5348281768515458
199,0.7845192699761673,0.5883423715995764,0.8377832553190337,0.03563307488176459,0.5348281768515458
227,0.31278260667803426,0.8820590027591674,0.9573859095497939,0.03975786368056078,0.5348281768515458
102,0.5294227828330222,0.7929418457852075,0.9157534645300371,0.01256906384788603,0.5348281768515458
30,0.13576349434418766,0.724529288575497,0.7937447161265373,0.06503181607145248,0.5348281768515458
421,0.6367397957981895,0.5094148074591821,0.9012111873573145,0.09027028759620037,0.5348281768515458
367,0.3586498647747124,0.5183471105159938,0.7252488421451112,0.13988976266389563,0.5348281768515458
330,0.7346188841258845,0.2778925556123807,0.7821729552717557,0.010485694824516112,0.5348281768515458
152,0.13815782976517343,0.9261501856398243,0.6204639861049741,0.9692222416614787,0.5348091683608215
180,0.01747943605325286,0.23095581259671305,0.13697034328453084,0.24680442138931002,0.5348091683608215
175,0.08071138841995085,0.9715995312282324,0.6221139270389893,0.9863692715490063,0.5348091683608215
254,0.06180997895923346,0.4453305122893203,0.33348743279935633,0.4467810939546324,0.5348091683608215
269,0.025456662695302223,0.9149157689828554,0.8776840105435845,0.6355775115794133,0.5347673067078565
3,0.16709874469136476,0.9659251450546927,0.7484501605865418,0.42424275568105774,0.5347673067078565
331,0.02509040358220538,0.8973453018323602,0.8691778320801833,0.7876950161480915,0.5347673067078565
285,0.15435985314889766,0.6705997345386143,0.4788898899818007,0.5007593653524876,0.5347673067078565
41,0.01525292682361401,0.9066774326088851,0.5043370112864067,0.8650372827431325,0.5347673067078565
366,0.06762937004134106,0.7118090188153372,0.4688954496404705,0.405166536162213,0.5347673067078565
139,0.07462816618966905,0.8899266799426987,0.7026288495882372,0.7994427028829595,0.5347673067078565
123,0.09072463922035867,0.9024123020452149,0.3324464561768462,0.7005436634879092,0.5347673067078565
272,0.13305446489798323,0.57702473445102,0.9344531718611501,0.9548070044360439,0.534761699585239
151,0.11760665471707743,0.5205461374694652,0.7683182179789132,0.8111203778600831,0.534761699585239
324,0.1289685271023997,0.1890232689430552,0.8069584785338879,0.8249503901505452,0.534761699585239
204,0.28050046938467355,0.5307703757771054,0.6571776667621763,0.8622874266887182,0.534761699585239
300,0.1101903209564179,0.5577668224594319,0.9043443530462838,0.9640623835531638,0.534761699585239
179,0.21809972324253735,0.2383769174627649,0.7953784443734421,0.7958427702302193,0.534761699585239
