,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
23,1056,0.048661375358622666,3,16,0.2839209747374657,0.9736638367553173,7.121892213475358,0.22436930946055977,2.3724908749680007,3.0537386034439344,-1.2318507851420013,0.02908733639061955,21
29,927,0.04207808564462766,18,13,0.5528199769079077,0.7089109969101186,5.015262946871996,0.5114423988609378,7.9829517896677515,2.9652014364779853,-1.2350193336077822,0.029574678261734315,22
77,428,0.08108744458546349,1,5,0.9899602323899452,0.06337497047276774,5.956487406078443,0.7603278598896865,4.715761885501584,3.22363844974723,-1.2387991108265168,0.024921510551163,23
61,174,0.07856682639443097,14,2,0.48004596701847513,0.5899558971376361,1.3638147558676976,0.21306416150891072,0.14544665667881929,4.205457786650751,-1.2404476843893175,0.026999072219239327,24
99,1655,0.08261073314226598,3,12,0.6247612710432511,0.9106240035403039,4.094216521912404,0.624248907849134,5.520471808519803,3.358758571498351,-1.2416765058780352,0.0290467417032975,25
84,315,0.08222573046720129,15,4,0.8767656367617495,0.7624586857406905,5.022983474625301,0.6040578720725125,5.398606371128367,3.4209174871590746,-1.2454766138363742,0.029955375976950773,26
9,783,0.06698412526636073,5,3,0.09541011649041131,0.4494506741382034,8.872227425763265,0.6376574713552131,4.722149251619493,3.708282521982664,-1.2467147043843219,0.02207246965506225,27
15,1509,0.006589224710898157,12,7,0.5581020020173412,0.21876421957307024,1.480969299533999,0.712370589924442,9.97740485048942,4.038461710580408,-1.2483678638129656,0.024033069040063568,28
82,653,0.033381578591248434,19,8,0.5428493106134089,0.22902539092479635,7.940351892702959,0.13937207266338725,6.200727559285135,4.315381431364425,-1.2538800207871388,0.02489147398862865,29
88,1849,0.0737444235624723,8,9,0.6067150463828559,0.5762883601668132,1.228207818457338,0.910786198255713,2.359060345950812,4.24140671302386,-1.2547694887690235,0.026852348012062786,30
5,829,0.020894166286818883,4,18,0.7553614103176525,0.18223608778806233,3.9516023600181445,0.44985413336976565,9.266588657937941,4.251658744912447,-1.2559195103478253,0.02462175882713104,31
