,param_C,param_kernel,param_gamma,param_degree,param_class_weight,param_probability,param_shrinking,param_tol,mean_test_score,std_test_score,rank_test_score
214,3.0577422659504374,rbf,auto,8,balanced,True,True,0.11389170850452826,-1.1375247223726448,0.04106608358840015,19
200,2.821582764680029,rbf,auto,10,balanced,True,True,0.09722907881125864,-1.1375476518733394,0.042089329069348515,20
129,3.0805440123439096,rbf,auto,7,balanced,True,False,0.11337333842875473,-1.137581382518731,0.040779667436027324,21
159,2.8842018313792197,rbf,auto,7,balanced,True,True,0.18405086833382128,-1.1376129830786972,0.04239670747428853,22
40,2.8180034749718637,rbf,auto,1,balanced,True,True,0.04658703250838834,-1.1376161751475387,0.04098439105724674,23
4,3.332442640800422,rbf,auto,6,balanced,True,False,0.03736499344142013,-1.1376442724571243,0.04110552461534837,24
183,2.920535778665075,rbf,auto,5,balanced,True,True,0.12887227139484847,-1.1376641729978498,0.04189789464469026,25
115,3.0393774484000624,rbf,auto,13,balanced,True,False,0.12417023287798278,-1.1376685087383531,0.04244481703247788,26
189,3.2964717756738775,rbf,auto,10,balanced,True,False,0.16941828300374195,-1.137672403730333,0.04114887924338698,27
123,2.8853966209655653,rbf,auto,10,balanced,True,False,0.06912491389284801,-1.1376844780309832,0.04295102209226002,28
59,3.175690117039281,rbf,auto,9,balanced,True,True,0.04281432414754274,-1.1377541067320736,0.041099101683190274,29
36,3.098865466488536,rbf,auto,3,balanced,True,False,0.17709356780305155,-1.137764911425615,0.04413722009180395,30
61,2.674954927095936,rbf,auto,9,balanced,True,False,0.10693011567120131,-1.1377807278828542,0.04002106198520345,31
152,3.0833687650971595,rbf,auto,14,balanced,True,True,0.07597411590474082,-1.137810281492285,0.04436744597128929,32
151,3.2671948531085717,rbf,auto,9,balanced,True,True,0.15020897585308465,-1.1378185083016727,0.042601397492886287,33
10,3.1803075385877797,rbf,auto,9,balanced,True,True,0.003652992231973306,-1.137841582466272,0.04130721052635816,34
126,2.9179460317155788,rbf,auto,13,balanced,True,True,0.11059437664961747,-1.1378472746191908,0.040406284978480644,35
131,2.7382361524039793,rbf,auto,14,balanced,True,True,0.10786549470611269,-1.1378741006927418,0.04074348883227546,36
239,2.7016273200477445,rbf,auto,14,balanced,True,True,0.03385315958619859,-1.1378813597094206,0.04033786505698609,37
107,3.111720746234352,rbf,auto,7,balanced,True,True,0.050546197900231495,-1.1378978065627137,0.04116213931989301,38
20,2.771349031773896,rbf,auto,5,balanced,True,False,0.07235066533871785,-1.1378990858576148,0.04211471988007228,39
168,3.376661485925793,rbf,auto,11,balanced,True,True,0.033966852227400195,-1.137902458172318,0.04071465108907827,40
93,3.1720261352951993,rbf,auto,3,balanced,True,True,0.03200832334554884,-1.1379089788274221,0.04160409412316498,41
124,2.760694528235903,rbf,auto,7,balanced,True,False,0.13957807173838788,-1.1379347831291031,0.039765396515300186,42
37,3.1243540481337932,rbf,auto,14,balanced,True,True,0.022098851966054125,-1.1379397754644254,0.042437090408267326,43
85,3.11500722669917,rbf,auto,6,balanced,True,True,0.029016803047304807,-1.1379400664902546,0.041956710613458195,44
167,3.22571950838836,rbf,auto,9,balanced,True,False,0.01754968400706123,-1.1379577810115,0.041273853972634784,45
