,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
826,616,0.0075176195594312215,6,9,0.7306790115283902,0.4174482838964625,8.94771987012495,0.7250127466244395,1.1755724912093657,5.218722953321787,-0.8304736996068394,0.006803982123900709,100
421,907,0.007110813964125696,15,4,0.6758229251040736,0.4131725172077195,8.27312149737246,0.15691270531680568,0.4191521671625753,6.581698242975735,-0.8306084175550359,0.006476348240215091,101
57,1733,0.08431189231357088,13,1,0.3808908566310215,0.5941307153521351,1.338621188006332,0.03692186763599138,0.13671964826997285,9.699243978146033,-0.8307138803728389,0.010811160645314677,102
956,1515,0.016455503841381815,19,15,0.8119814906857101,0.35124383228332834,1.1705507270632614,0.01620821854933697,1.8492601877281745,3.1953145180747584,-0.8307591323226804,0.008921903010016163,103
10,894,0.05622771975694963,14,7,0.713244787222995,0.1195942459383017,4.275510183585496,0.522832829381994,0.2541912674409519,7.607950486168974,-0.8307984344674917,0.004689275580861019,104
1060,1826,0.0033976943682593407,12,16,0.6378221792594102,0.31177764680502196,7.924666691392632,0.688062840118709,3.0679428311010124,0.09354953486244201,-0.8308882794911063,0.00893763061051378,105
1258,136,0.07620603839674762,9,15,0.8419721187072957,0.7120545336912272,8.216565971645,0.861030482578696,1.2228872118059952,4.638443429500522,-0.831332988107026,0.010861110874832103,106
236,961,0.07390691233385172,12,11,0.43550545439815935,0.613777418815699,6.341521382957368,0.9792049380151545,1.2626474156450274,5.77259730768613,-0.8316305716671211,0.005873074914614251,107
354,1622,0.017269390770544957,18,2,0.6964298070361072,0.5409050038380808,5.754193872861483,0.5467852550992888,0.22141475472629457,7.021560961818294,-0.8317204989222334,0.012319362557881686,108
1178,1240,0.09257474758643618,9,6,0.5062310360908802,0.6974612672267269,1.9965864195602305,0.9693406075368995,0.5987462672138566,0.25642249884422585,-0.83191653753995,0.012096816819211762,109
762,1610,0.04566256153552002,10,17,0.896281552163788,0.15963275677344013,0.3880945472888746,0.6216073111380841,1.8677252823112933,4.045010644519094,-0.831965101918021,0.009156691245158555,110
210,435,0.05111097124988252,3,5,0.40232712468655596,0.3876735947503942,7.029534409786768,0.22553875546369384,0.5280396046852809,8.742724706102377,-0.8322406744757971,0.0020286853986238307,111
189,697,0.04826348465348624,7,5,0.35423624044477453,0.6540757953719981,2.485902577149421,0.963922275482351,1.3380373627948872,5.2551462196864,-0.8328057709714131,0.009434465738676678,112
503,1130,0.08764886503958966,13,13,0.3169426217672814,0.248539820927426,7.646609503848735,0.857330937369791,1.4669511401518154,8.08836323491684,-0.8328508690483428,0.01961379729121282,113
