,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
22,1975,0.016262871409461376,6,8,0.6420316461542878,0.7798755458576239,3.7229276656174313,0.5807866214364547,9.401334424577785,0.8414996499504883,-0.7538921135272713,0.043099336204566116,27
67,1696,0.06887847170960831,11,16,0.09229058622874609,0.321582764680029,8.683111070355867,0.00269502438364656,0.8451700768068193,4.8115539405629315,-0.754178881554133,0.044591515155928005,28
35,1199,0.07388969166957686,5,3,0.27993389694594284,0.6601973767177313,1.5865644764249103,0.5661372104940763,1.2016464780564218,9.54875280663194,-0.7542222535509933,0.045039732897307755,29
55,1376,0.01636169393448913,14,3,0.8137950197069487,0.30952761628632774,4.166490577384792,0.9406318271353834,5.811626211808263,6.847411725538793,-0.7556973236731308,0.0486113586224529,30
99,1655,0.08261073314226598,3,12,0.6247612710432511,0.9106240035403039,4.094216521912404,0.624248907849134,5.520471808519803,3.358758571498351,-0.7557596992077042,0.041856419512495385,31
52,1356,0.06964111231066476,18,15,0.9191157152786594,0.924643330223596,2.945039468394299,0.2169091065864912,9.958313750293707,2.5300016798924116,-0.7564073653662062,0.034534601514386955,32
54,839,0.023039474570494968,5,9,0.6468483616687238,0.16967990389556553,6.981717140197452,0.9863107444796029,5.360963663441204,3.882783839898722,-0.7566138952713908,0.04330140777534181,33
23,1056,0.048661375358622666,3,16,0.2839209747374657,0.9736638367553173,7.121892213475358,0.22436930946055977,2.3724908749680007,3.0537386034439344,-0.7566954916281633,0.043615881728009134,34
47,1291,0.08394807637639852,14,13,0.8369638742373738,0.6880300101750391,8.218700592903563,0.07286300636419353,7.062422271564962,8.668787053108414,-0.7577626959906634,0.04261466206829438,35
50,486,0.08237903518766933,7,1,0.7409738609106683,0.5714730252050106,9.621825484745418,0.5834687650971596,3.748705795237041,7.672048531085717,-0.759279587032345,0.049709691679659024,36
8,330,0.07722703466859458,5,10,0.7068573438476171,0.8154614284548342,9.149696755437807,0.6511770255019445,8.500385777897993,7.290171680409873,-0.7604217809921938,0.044765808692676545,37
94,293,0.07765276166950107,15,18,0.5648411332626164,0.47206694510999925,4.810979483875859,0.5345558912572469,4.9701194882124895,0.6571863942835237,-0.7605892060291641,0.04658786785354351,38
62,348,0.04384749220237291,2,20,0.5899176868546331,0.350587558806597,7.83663012741143,0.5140894891598108,3.9654278232127016,3.922540450997323,-0.761332620758572,0.050837503816371886,39
82,653,0.033381578591248434,19,8,0.5428493106134089,0.22902539092479635,7.940351892702959,0.13937207266338725,6.200727559285135,4.315381431364425,-0.7615128720698976,0.04317707792185191,40
66,445,0.01216358711006008,9,12,0.17701048427674682,0.2785903390319586,1.287583982996439,0.8943172628959257,3.300995133101554,0.8871253375705561,-0.7621898220589023,0.03856543102171459,41
63,884,0.014807348092903794,17,10,0.8623637087467452,0.6220867002278735,4.591457562382613,0.25834438829895834,9.800325752854771,9.495306236576422,-0.7627654306717002,0.04228071006388905,42
83,1534,0.015267487973275118,1,5,0.8938925830509576,0.5334610919763215,0.3354243473577938,0.744046292572677,5.698896848713165,7.886072112245307,-0.7629938900874169,0.053045662475940315,43
39,1391,0.0812204176736003,11,5,0.5733670416719333,0.6771683423829817,9.612005638239141,0.38620263780077424,9.053506419560637,1.2851035323391018,-0.7645118473052908,0.04225490443541539,44
