,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
1366,107,uniform,brute,22,25.348810433345605,minkowski,-0.9495906185768886,0.05752096518181305,799
352,107,uniform,auto,28,23.092060451969214,euclidean,-0.9495906185768886,0.05752096518181305,799
410,121,distance,auto,106,25.654193317032604,manhattan,-0.9497235368801519,0.05365475486918023,802
926,114,distance,auto,40,28.858916863461822,euclidean,-0.949955743311642,0.053402795135570676,803
72,114,distance,auto,144,16.48901044903586,euclidean,-0.949955743311642,0.053402795135570676,803
324,106,uniform,kd_tree,143,6.024477467772092,manhattan,-0.9500471392928542,0.05795161419460679,805
298,120,distance,kd_tree,193,2.3722610143753853,manhattan,-0.9505361023304845,0.05270950295129991,806
1135,110,distance,ball_tree,8,2.7135149011132977,minkowski,-0.951146056627422,0.05509858375832577,807
960,107,uniform,ball_tree,145,29.8678433982747,minkowski,-0.9511539100193447,0.05775756030029858,808
911,108,uniform,brute,180,16.038269338771883,manhattan,-0.9512384080691451,0.056305597407528996,809
1007,107,uniform,kd_tree,167,9.368142282204303,euclidean,-0.9513760778734026,0.05575105973137123,810
817,108,uniform,kd_tree,80,11.00885187510597,euclidean,-0.9527092999035964,0.05890876007817859,811
849,109,uniform,auto,61,14.974772596693741,manhattan,-0.9532108037077134,0.055369920364979244,812
626,109,uniform,brute,4,15.29450151334878,minkowski,-0.9532108037077134,0.055369920364979244,812
740,109,uniform,auto,112,29.412720013255573,minkowski,-0.9532108037077134,0.055369920364979244,812
1343,109,uniform,auto,65,16.13508772164507,euclidean,-0.9532108037077134,0.055369920364979244,812
151,107,uniform,ball_tree,56,28.626172015954396,manhattan,-0.9532561439772348,0.06005246586941236,816
453,110,distance,auto,58,30.74765226610822,minkowski,-0.9536385128180154,0.05314128366782669,817
596,108,uniform,ball_tree,122,24.951410215550574,manhattan,-0.9543285988671197,0.0593631740283868,818
672,111,distance,brute,153,10.90728338009216,minkowski,-0.9546806574455774,0.05238225832506685,819
1076,117,distance,brute,29,14.195669191415046,euclidean,-0.9549036130033741,0.05377284783110553,820
815,124,distance,brute,160,27.44690364822271,manhattan,-0.9549149815242896,0.054175333791881705,821
307,124,distance,brute,1,22.732680178423507,manhattan,-0.9549149815242896,0.054175333791881705,821
52,115,distance,ball_tree,128,20.089978545576862,euclidean,-0.9553951076905681,0.05383469665221419,823
1294,110,uniform,auto,56,6.607942883243408,minkowski,-0.9555446491994045,0.05528148418552515,824
798,109,distance,ball_tree,6,16.0939741765462,minkowski,-0.9558116793900983,0.05599066721359379,825
729,123,distance,kd_tree,185,30.98631756157283,manhattan,-0.9559997230373213,0.05398436234598715,826
1043,109,uniform,kd_tree,52,26.49877991509616,minkowski,-0.9562962499606188,0.057054737712893364,827
711,114,distance,kd_tree,68,28.067092103867143,euclidean,-0.956373640868032,0.054036716901512356,828
251,118,distance,auto,149,20.116947393684605,euclidean,-0.9569820134287308,0.05384162317725479,829
370,125,distance,ball_tree,68,23.95572593667354,manhattan,-0.9569839814708396,0.052131341487033474,830
143,126,distance,kd_tree,53,20.002025629501773,manhattan,-0.9573576954781811,0.05559840864089824,831
100,111,uniform,auto,83,3.4985323358577896,manhattan,-0.957888678007625,0.05459089995709035,832
906,111,uniform,auto,59,28.253036556381257,manhattan,-0.957888678007625,0.05459089995709035,832
764,111,uniform,brute,84,17.601370483801222,minkowski,-0.957888678007625,0.05459089995709035,832
774,111,uniform,auto,85,8.76134926466323,minkowski,-0.957888678007625,0.05459089995709035,832
737,126,distance,ball_tree,151,11.33812253342679,manhattan,-0.9583310908406096,0.05275840856728722,836
1079,113,distance,brute,68,16.106409445356583,minkowski,-0.9583881809165581,0.05239586949427333,837
