,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
3,501,sqrt,22,25,2,True,0.4597974030600641,0.011081772895970546,63
8,828,sqrt,64,38,3,False,0.45944270405022725,0.010286430040802892,64
6,709,,59,29,42,True,0.4591583378359469,0.006591836575190302,65
183,49,sqrt,55,32,3,False,0.4582091400137001,0.020700502036812677,66
100,262,,12,3,46,True,0.45451115430595157,0.007353369250417724,67
53,140,,99,17,48,True,0.4539453273673,0.005621864969280222,68
125,357,sqrt,39,14,3,True,0.4538181158976121,0.01185072843955882,69
105,557,,73,36,49,True,0.4522126749095059,0.007536928756075996,70
111,894,,52,17,47,True,0.4518055459149575,0.007506707650137917,71
145,654,sqrt,92,32,5,False,0.4503314795325707,0.01614465392968994,72
46,355,,3,20,36,True,0.44761262444193406,0.009978940150472217,73
34,719,sqrt,77,40,3,True,0.44388907928534227,0.009599618362175589,74
141,233,log2,33,19,1,False,0.4404417863758955,0.011513853816623398,75
148,726,log2,73,46,1,False,0.4357843718052775,0.009478079659521257,76
38,634,,2,38,49,True,0.43530559759838716,0.009228367206076577,77
21,240,sqrt,35,43,5,True,0.4329759613074346,0.010335398219185032,78
45,473,sqrt,16,7,9,False,0.4312705770500099,0.007842871826516553,79
63,668,sqrt,64,49,5,True,0.4296276098167075,0.00946017912511575,80
19,353,sqrt,65,10,7,True,0.42894968627117896,0.01104852734368703,81
116,922,sqrt,76,45,10,False,0.4276880577201564,0.00646290826642299,82
74,694,sqrt,24,37,7,True,0.4270934908422654,0.009252051335607017,83
189,10,sqrt,20,48,12,True,0.4262514760588096,0.016600105710592238,84
110,727,sqrt,19,29,7,True,0.426031299808779,0.008381051804103241,85
120,310,sqrt,86,26,7,True,0.42392728915730393,0.007485469437301335,86
194,920,sqrt,73,12,9,True,0.4224777112130787,0.009629350356148564,87
176,221,sqrt,44,14,17,False,0.41848500515144577,0.0074416214021633,88
104,403,sqrt,36,37,21,False,0.4143808826375599,0.009686620894387188,89
64,229,sqrt,35,45,17,False,0.41336908499034586,0.00974542345409017,90
58,825,sqrt,33,22,14,True,0.4118003117199258,0.011086282131037364,91
49,999,sqrt,57,32,23,False,0.41078995127889,0.01303679906239285,92
0,81,sqrt,52,44,15,True,0.40912065831606037,0.0064452690160096944,93
93,767,sqrt,94,11,23,False,0.40813437043148815,0.00904063152138959,94
126,943,sqrt,63,34,25,False,0.4070245073049481,0.010540495146271213,95
192,181,sqrt,10,11,23,False,0.404791718307629,0.010603682887989328,96
109,405,sqrt,86,37,19,True,0.4025052036756939,0.009110528002818051,97
78,314,sqrt,62,23,22,True,0.3986058170800219,0.006315512795135975,98
67,992,sqrt,99,33,21,True,0.39807833404445914,0.005223006493337172,99
112,574,sqrt,99,37,21,True,0.3979744479903366,0.007125561745370127,100
197,556,sqrt,75,13,34,False,0.39710458719587516,0.010896804794741411,101
159,62,sqrt,84,7,34,False,0.39576855152852,0.00817448458141989,102
107,876,sqrt,55,26,23,True,0.3952373391354341,0.00956729953937033,103
181,719,sqrt,33,22,22,True,0.3944292018179793,0.00634678334111918,104
35,828,sqrt,27,34,37,False,0.39355972262154015,0.009497371533454731,105
186,724,log2,51,16,2,False,0.3924757309488748,0.019397084041851413,106
87,894,sqrt,48,46,40,False,0.3864688713605292,0.011678573893926921,107
52,18,sqrt,12,33,37,False,0.38599674471394896,0.009870278425026545,108
92,298,sqrt,90,37,39,False,0.3847165832606467,0.010031202430285928,109
137,934,sqrt,84,49,28,True,0.38429428577432295,0.009773187218969701,110
18,24,sqrt,60,30,41,False,0.383787001255498,0.022174540948170635,111
72,48,sqrt,33,49,43,False,0.38203024368351185,0.012842925383024595,112
5,570,sqrt,22,26,44,False,0.3812924591941037,0.009991925273347614,113
62,293,sqrt,98,34,30,True,0.38025676391409313,0.012628763450612443,114
165,55,sqrt,5,27,12,True,0.3792250430527312,0.016855844885347984,115
86,647,,1,33,34,False,0.3778730313022168,0.0035384911451901775,116
149,809,sqrt,62,41,49,False,0.37502487893146047,0.01227541133554323,117
28,743,sqrt,52,5,32,True,0.37315547985974606,0.011665056715883573,118
30,708,sqrt,36,8,32,True,0.3709545285020499,0.007010446610967547,119
71,794,log2,27,27,2,True,0.37087192672764707,0.009889299169566655,120
151,970,log2,34,13,3,False,0.36598001069603614,0.008622930767747963,121
41,739,log2,19,45,2,True,0.36497283047255263,0.011658566784992035,122
174,723,sqrt,64,29,37,True,0.36038922542616697,0.008512901968258291,123
129,668,sqrt,75,36,36,True,0.35989454323871334,0.007541673839512601,124
88,799,sqrt,16,6,39,True,0.3583750136917181,0.008814817611335804,125
175,483,sqrt,57,23,39,True,0.35829766898383353,0.011104744727302315,126
2,673,sqrt,88,41,36,True,0.3562199101929291,0.012196762126340611,127
9,397,sqrt,21,19,39,True,0.352728378575371,0.011714290739920398,128
