Feature,Importance
Inflight Entertainment_5.0,0.0
Destination_Vilnius via Orio al Serio,0.0
Destination_WAW,0.0
Destination_WRO,0.0
Destination_Warsaw,0.0
Destination_Warsaw Modlin,0.0
Destination_Wien,0.0
Destination_Wroclaw,0.0
Destination_Wrowclaw,0.0
Destination_ZAZ,0.0
Destination_Zadar,0.0
Destination_Zagreb,0.0
Destination_Zaragoza,0.0
Destination_Łódź,0.0
Seat Comfort_0.0,0.0
Cabin Staff Service_0.0,0.0
Value For Money_0.0,0.0
Inflight Entertainment_2.0,0.0
Inflight Entertainment_3.0,0.0
Inflight Entertainment_4.0,0.0
mlp_5.0,0.0
mlp_6.0,0.0
mlp_9.0,0.0
mlp_11.0,0.0
Day Published_21.0,0.0
Day Published_23.0,0.0
Day Published_24.0,0.0
Day Published_25.0,0.0
Day Published_26.0,0.0
Day Published_27.0,0.0
Day Published_29.0,0.0
Day Published_30.0,0.0
Year Flown_2014.0,0.0
Year Flown_2017.0,0.0
Year Flown_2021.0,0.0
Year Flown_2022.0,0.0
Year Flown_2023.0,0.0
Year Flown_2024.0,0.0
Month Flown_1.0,0.0
Month Flown_2.0,0.0
Month Flown_3.0,0.0
Month Flown_4.0,0.0
Month Flown_11.0,0.0
Day Published_20.0,0.0
Day Published_19.0,0.0
Day Published_18.0,0.0
Month Published_11.0,0.0
Year Published_2012.0,0.0
Year Published_2019.0,0.0
Year Published_2021.0,0.0
Year Published_2023.0,0.0
Year Published_2024.0,0.0
Month Published_1.0,0.0
Month Published_2.0,0.0
Month Published_4.0,0.0
Month Published_12.0,0.0
Day Published_14.0,0.0
Day Published_4.0,0.0
Day Published_5.0,0.0
Day Published_6.0,0.0
Day Published_7.0,0.0
Day Published_9.0,0.0
Day Published_11.0,0.0
Day Published_12.0,0.0
Day Published_13.0,0.0
Destination_Vilnius,0.0
Destination_Vigo,0.0
Destination_Vienna,0.0
Destination_Shannon via Gatwick,0.0
Destination_Rome Ciampnio,0.0
