,param_n_estimators,param_max_features,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_bootstrap,mean_test_score,std_test_score,rank_test_score
11,279,log2,44,37,10,False,-2.5821575586870353,0.07606030125428058,79
27,1264,log2,108,29,11,False,-2.58354995163657,0.06425496249941597,80
10,712,log2,134,5,10,False,-2.586069513288461,0.0657927871534588,81
47,263,log2,113,21,8,True,-2.6024762689733913,0.049714596105648205,82
66,1176,log2,144,24,12,False,-2.6238682580223385,0.056765766775653884,83
4,484,log2,58,26,12,False,-2.6279035322942077,0.033131424844164134,84
69,1002,log2,170,38,15,False,-2.665566267474756,0.06893060576960722,85
43,906,log2,144,3,16,False,-2.6977382100030414,0.06940257780022473,86
80,560,log2,197,22,16,False,-2.698132793243452,0.06918576067474434,87
31,1419,log2,113,13,17,False,-2.711894047427632,0.05821750918074472,88
82,771,log2,69,32,20,False,-2.72833613451511,0.08029286120961203,89
26,805,log2,45,7,21,False,-2.7343119147864665,0.06917689285622423,90
67,60,log2,98,23,23,False,-2.7404150324984493,0.08891103904089483,91
74,1022,log2,117,10,23,False,-2.7522373128624515,0.06757359973398097,92
46,637,log2,152,34,24,False,-2.7526166275119595,0.09002788031810066,93
64,837,log2,99,14,24,False,-2.7576096394838254,0.05871966940957987,94
61,863,log2,67,33,24,False,-2.7634631540480212,0.09226823582504445,95
71,832,log2,116,36,15,True,-2.7643690597843635,0.07086170844236181,96
78,1119,log2,195,38,16,True,-2.7768094752006345,0.07098177889870458,97
14,24,log2,24,30,13,True,-2.8079376297342042,0.08594160734607557,98
98,1400,log2,199,20,20,True,-2.808000183199674,0.062059601491209426,99
33,1258,log2,2,24,22,True,-2.980852205267863,0.06289195721584535,100
