Date Published,Passenger Country,Trip_verified,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,ryanair_review,exclamation_marks,question_marks,comment_length,never,again,online,delayed,cheap,legroom,Sentiment,Year Published,Month Published,Day Published,Year Flown,Month Flown,Day Flown
2022-10-10,Lithuania,Not Verified,Missing,Solo Leisure,Economy Class,Barcelona,Kaunas via Budapest,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.10647299040941947,False,False,False,True,False,False,-1,2022,10,10,2022.0,9.0,1.0
2022-06-21,Germany,Trip Verified,Missing,Family Leisure,Economy Class,Amman,Brussels,1.0,4.0,3.0,3.0,5.0,yes,1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.5234056394394748,False,False,False,False,True,False,-1,2022,6,21,2021.0,7.0,1.0
2018-01-20,Greece,Trip Verified,Missing,Solo Leisure,Premium Economy,Knock,Athens via Stansted,2.0,3.0,1.0,1.0,1.0,no,1.0,-1.0,False,3.1756879305423493,-0.2682527408267359,2.1182282061512963,True,True,False,True,False,False,-1,2018,1,20,2018.0,1.0,1.0
2019-05-11,United Kingdom,Trip Verified,Missing,Solo Leisure,Economy Class,Leeds,Malaga,1.0,2.0,1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.3914180848648717,False,True,False,True,False,False,-1,2019,5,11,2019.0,5.0,1.0
2014-06-08,United Kingdom,Missing,Missing,,Economy Class,,,3.0,3.0,3.0,,4.0,yes,-1.0,-1.0,True,-0.43995890559532946,-0.2682527408267359,-0.112056330150401,False,False,False,False,True,False,0,2014,6,8,,,
2019-06-10,United Kingdom,Trip Verified,Missing,Family Leisure,Economy Class,Murcia,London,1.0,2.0,2.0,1.0,1.0,no,-1.0,-1.0,False,0.7652567064505633,-0.2682527408267359,-0.20203899155738592,False,False,False,False,False,False,-1,2019,6,10,2019.0,6.0,1.0
2017-01-19,Spain,Verified Review,Missing,Solo Leisure,Economy Class,Barcelona,Dublin,3.0,5.0,4.0,5.0,5.0,yes,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.8040658452564992,False,False,False,False,False,False,1,2017,1,19,2017.0,1.0,1.0
2018-06-02,United Kingdom,Trip Verified,Missing,Solo Leisure,Economy Class,Knock,Bristol,1.0,1.0,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.9818887237512551,False,False,False,True,False,False,-1,2018,6,2,2018.0,6.0,1.0
2018-01-14,United Kingdom,Trip Verified,Missing,Family Leisure,Economy Class,Zaragoza,London,3.0,2.0,1.0,1.0,2.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,0.6356567372552593,False,False,False,False,False,False,-1,2018,1,14,2018.0,1.0,1.0
2018-07-08,France,Trip Verified,Missing,Couple Leisure,Economy Class,Prague,Bucharest,1.0,,-1.0,1.0,1.0,no,-1.0,-1.0,False,-0.43995890559532946,-0.2682527408267359,-0.08634699831983389,False,False,True,False,False,False,-1,2018,7,8,2018.0,7.0,1.0
