,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
413,1566,0.17101806369913256,20,66,5.442639661136977,4,0.6724085487359897,0.8488801567300877,7,-0.47511474258645114,0.014620192194655345,47
242,1295,0.06475826150282131,21,35,4.960578386798865,5,0.13931020315758819,0.9200367761832624,9,-0.4767416874845124,0.031814175620099014,48
143,1644,0.17015393742597504,48,102,5.97284072430341,1,0.662702499677233,0.7745753048577018,3,-0.4777313130838765,0.015561130482113925,49
448,1775,0.20345271750527313,28,46,9.335810834576481,4,0.5684019060666275,0.7996034944436359,6,-0.47970077947864975,0.0148835334985947,50
398,118,0.0671516649185412,49,126,0.5659565614671562,1,0.6291702755624448,0.9422019066463505,8,-0.4798226873264002,0.021892200644047843,51
308,1009,0.18760781287202358,14,54,9.132969475762367,2,0.5206955711984396,0.8650701304333586,9,-0.4803455670686625,0.016127786646378157,52
322,458,0.06404953842615665,45,71,3.4728703903050757,3,0.28053390327942357,0.7708683701087462,5,-0.4812375675504004,0.06738145941974065,53
105,1849,0.1313430092765712,30,14,4.508493714041321,1,0.46526780453178246,0.709209041915055,1,-0.4819163238145724,0.037549478904492714,54
60,1314,0.14620788541938182,29,116,0.8290132169335422,1,0.5979272089852055,0.7475271665072287,9,-0.48325292976418177,0.035154667003442136,55
341,1328,0.17450695887683937,25,62,7.753561504031356,4,0.574022579680206,0.9730468884893609,2,-0.4838225281581777,0.0145025384861951,56
317,1702,0.20440505129931824,31,78,1.3579904706393713,3,0.1422141891795161,0.9238753779351759,4,-0.4846860206257307,0.0414495028979234,57
123,1997,0.17594836074144035,24,89,1.3689563006880727,5,0.5246221067979727,0.726870159966284,5,-0.4865905812328485,0.016356004255094973,58
1,1315,0.20398197043239888,45,191,1.8341450985343382,2,0.026261750493683934,0.7571467271687763,3,-0.4866576915112882,0.041983070427348806,59
145,1051,0.18202536328358476,12,70,2.72969374856315,1,0.7169879385699935,0.9147897691573654,9,-0.48699719816270165,0.011517514714921198,60
272,178,0.16168500357382223,23,119,8.70588425046007,5,0.4404297296767674,0.8034483339552154,4,-0.4902565900465901,0.039770099458835376,61
176,519,0.11866010467265768,33,120,3.955251698490153,1,0.4088274566954841,0.8383739970187851,4,-0.49062098736136023,0.036870733912696116,62
