,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_reg_lambda,param_min_child_weight,param_feature_fraction,param_bagging_fraction,param_bagging_freq,mean_test_score,std_test_score,rank_test_score
192,402,0.016260462749503247,30,104,6.385359476640855,21,0.9636042869057305,0.8693737793069699,1,-1.1642286907003832,0.04047996868786542,42
206,307,0.10687968951480813,12,135,5.974858626319301,20,0.6161354060223464,0.7855884986821985,1,-1.1643866757624222,0.04172008159168663,43
221,404,0.08134641060800032,13,123,8.056801529500532,5,0.609482776068434,0.38556500402319954,1,-1.1643998993945102,0.04453085591937901,44
17,1697,0.18609356780305156,43,188,1.055042598302706,13,0.6978370837093075,0.6028768118236506,1,-1.1644411326998092,0.04382825321028508,45
172,852,0.04530560640110166,27,6,8.26215695793966,9,0.2383631136005811,0.5175616259063435,1,-1.1646177373374733,0.03948787871219355,46
225,1301,0.10094797112677183,48,154,6.668742575461043,11,0.8692391115748219,0.6427287384373453,1,-1.1646357610012859,0.049971034349283794,47
88,1827,0.1710089335038724,40,41,6.080978495418852,6,0.6429677434044999,0.7868215813048665,1,-1.165404293681493,0.05501269246685103,48
200,313,0.16597019777866998,9,182,1.0494017841817487,11,0.8615211732173126,0.6980320672652771,1,-1.1654761670129261,0.045864771224230355,49
29,552,0.05837045818009034,49,40,8.826463431893396,12,0.5343540725724464,0.5596488034834677,1,-1.165513646342663,0.04195347404978627,50
23,1795,0.03897897441824462,45,163,5.927067238793935,26,0.2471662717603027,0.9091832271069872,1,-1.1656855517567544,0.035542816209724847,51
180,191,0.11425206243608298,17,100,1.5735065970252597,8,0.7365708197641647,0.8658479515042751,1,-1.1658890105738307,0.053481427379069545,52
123,122,0.07850485143570868,7,50,2.8793961647572615,8,0.9594840466183875,0.8285308395309875,1,-1.1663442271702398,0.060230033004706834,53
108,823,0.20359881330084686,5,23,2.4241973241508026,19,0.21302678454796453,0.8401967331155985,1,-1.166417608588941,0.03971157596425067,54
227,616,0.14452042364502526,33,89,2.5531652472843187,6,0.10296170863152419,0.9702129256461978,1,-1.166454385651346,0.043349291337985096,55
26,1634,0.054048209513109666,27,150,3.4867598729172937,3,0.3326993161498659,0.8597752167655827,1,-1.1666008674652042,0.05046774154474889,56
63,798,0.17529149322154836,23,22,3.892116787341631,13,0.5101998487233785,0.903527377612771,1,-1.167404647476029,0.058995584610314726,57
36,1119,0.12538077692527183,34,64,4.9920337988475225,5,0.5076107221741402,0.7968631905062319,1,-1.167479118553367,0.05276668758441838,58
14,894,0.15434590423297465,15,140,7.106728896857874,7,0.850424686023423,0.9719949744352127,1,-1.168444177792455,0.06126733754350213,59
113,1695,0.0232992534733555,41,67,7.815244817514149,22,0.18942073550400357,0.9389570522528274,1,-1.168992060164142,0.04206981524298898,60
191,1207,0.1779894329344944,48,25,1.3134512640937805,14,0.30539068668009267,0.8276615581418977,1,-1.1692435663484744,0.04563105163870947,61
245,251,0.08215450382211996,43,52,2.3688055897448206,8,0.1830257083991034,0.6501398542886315,1,-1.1692680347979725,0.03797784847644857,62
91,1897,0.02324719557037317,6,56,3.4742340822541427,2,0.7712285639022435,0.8436705008685226,1,-1.1694829427890605,0.06137002843076398,63
57,1958,0.119123357863187,38,68,9.612005638239141,12,0.46367036158660146,0.6468553362579297,1,-1.1695391760890093,0.04303968405371053,64
139,1541,0.14054922157037494,48,38,2.431821909994541,8,0.1867592154337903,0.8019169245194575,1,-1.1696522195320491,0.04514839808049251,65
156,965,0.14893929417088536,31,15,3.609838969400268,6,0.8014217201792895,0.8209112944974577,1,-1.1702427878546475,0.06024122531223839,66
50,1360,0.02877465801625835,26,120,6.382805938433504,8,0.2473894855658292,0.4479287074337934,1,-1.1702451891350703,0.04237101443826506,67
239,888,0.19540690895926136,16,144,3.5163268723963443,4,0.25104747361053625,0.899050243460487,1,-1.170289996519373,0.057110951535807405,68
214,1360,0.1924726691233382,13,21,6.315702200925205,3,0.5964268253074286,0.28405951926270107,1,-1.170627322246275,0.05590136631238645,69
133,1859,0.04689257428377122,8,144,3.973281154575979,1,0.5397190217443221,0.8620256977118266,1,-1.1707061750070469,0.0624769186771295,70
142,914,0.09428491011849958,3,151,3.358758571498351,1,0.5872111453599953,0.18962108073889936,1,-1.1709643486614287,0.0540406729781613,71
16,640,0.13088347585556345,16,39,9.42863570557981,11,0.14793813986181695,0.6985609255618662,1,-1.1712101801707795,0.03519549499785492,72
31,203,0.19712699884418952,37,87,5.806966214364547,6,0.8524191642798375,0.8888923977733502,1,-1.171532132759301,0.06108757024960786,73
106,1445,0.2064757233817213,32,78,8.655171258939802,6,0.4162928587197649,0.5292662756745521,1,-1.1717104378633116,0.05596130518797626,74
46,1226,0.06430858316394837,45,199,8.420330750119813,5,0.8295903137497128,0.3333847293780805,1,-1.1719473822527284,0.040592333195502976,75
55,615,0.18129796823766448,6,19,0.7057874740042984,13,0.5081048959942868,0.6296013165570941,1,-1.1719738197913179,0.038367501059900014,76
164,592,0.157571153381305,34,173,8.766753778624494,16,0.6650386233297361,0.5430174754769796,1,-1.1723706293706535,0.036678652863595604,77
0,221,0.15639878836228102,22,78,4.592588919658671,7,0.951207163345817,0.3807947176588889,1,-1.1728284571509031,0.04517929202733374,78
159,1661,0.1393329838234327,27,50,0.44175437710100174,9,0.9043301745096647,0.9807710321781883,1,-1.1734029503540957,0.05154756492961636,79
71,1249,0.059744830886057594,20,198,2.5369217387313876,7,0.7080335206536933,0.38420771422103195,1,-1.1742007483097274,0.04707929025346536,80
21,1509,0.20435641654419215,13,134,3.0088830981676966,7,0.36999330635550104,0.7059887693062261,1,-1.1748136713048,0.06570268667052405,81
80,549,0.155143901677672,48,13,9.327384833540133,25,0.9503019141590048,0.8243118704939373,1,-1.1750935579541144,0.030578549247662276,82
236,728,0.20029571193319826,3,157,1.0892834184673144,6,0.5469400283299409,0.505440856039434,1,-1.1753802273919622,0.049018346029154176,83
117,1162,0.1163714959376348,41,182,4.315381431364425,8,0.3975672890994869,0.3618088273002119,1,-1.175406972842759,0.044680569274839,84
53,650,0.029566832130200296,49,103,1.7321186991001518,21,0.47943209079645194,0.7066212807862234,1,-1.1756256382480599,0.03547330974107986,85
45,1906,0.016100049987809888,43,57,5.370924271966555,6,0.5949249279633206,0.29367583960700155,1,-1.1759067325449666,0.03723833238141283,86
141,250,0.012600384702147208,8,88,0.26542203873819714,1,0.8973724603359086,0.30021625295840315,1,-1.1762205332914177,0.05668347707733728,87
127,1305,0.20696823979246692,47,60,3.3215641265493896,4,0.1221056653823477,0.4563309776900908,1,-1.1765778153742366,0.046239634330877896,88
241,189,0.15323013484463874,14,92,5.224910405161183,4,0.6142304454778091,0.3181946221644436,1,-1.1767186803598888,0.05081969876960913,89
6,305,0.10903538202225403,48,84,2.5878998160001694,3,0.13081785249633104,0.44575096880220527,1,-1.177517331472705,0.0469502074393925,90
79,1024,0.17275900394138977,29,144,9.109371844938424,16,0.3164323401234645,0.5407354026806792,1,-1.17796373867652,0.03809986581233328,91
85,980,0.06494635940518176,5,35,0.4690646779121992,1,0.25892801511668045,0.21299487522145966,1,-1.178110842156379,0.051531355989829115,92
59,716,0.14632273379455796,35,138,1.1817482762165625,19,0.3915426547559094,0.6591654090269348,1,-1.178493091947872,0.037693307715627615,93
238,718,0.11424682649706687,22,83,6.47484714154603,23,0.7183359980282817,0.7494069589744645,1,-1.1784957060107009,0.03398154697254317,94
155,141,0.09255871012135046,44,28,2.4641203323910683,8,0.35802475952287666,0.3509398947237909,1,-1.1788279553662941,0.04009264336988909,95
87,866,0.1683635678939266,18,50,4.205457786650751,16,0.09752414113199011,0.9682940277854248,1,-1.1791268678832876,0.046081117238845684,96
152,1350,0.15380918103684912,40,57,4.760604021990996,8,0.36211598930029965,0.29580679940299287,1,-1.1793620720183062,0.03443353019316928,97
