,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_reg_lambda,param_reg_alpha,param_scale_pos_weight,param_gamma,mean_test_score,std_test_score,rank_test_score
68,109,0.059488309755789885,6,18,0.6845715478798333,0.9320143422569341,0.506103956359347,5.489319798889772,0.5487031179381532,2.0173046233023584,3.2065219215951433,0.4598573025938582,0.013399899432832705,30
96,1621,0.04606815127611312,3,3,0.5902306668690871,0.704925549688953,0.41279355060675227,6.947064708544268,0.7995158789689792,2.7214513722996267,5.982960582681546,0.4575018360038525,0.012700699266887466,31
47,1453,0.0902158010490989,11,12,0.6201325978015367,0.6275580800840634,0.45454106476777323,8.902737838909163,0.9505114840765587,4.55656752785713,5.843243119231002,0.4562090066385373,0.011386225019960701,32
34,995,0.09448916045607572,2,17,0.5733670416719333,0.6839637693981411,0.5393774484000625,8.009592946823997,0.6365035974460113,6.771683423829817,6.158611643899138,0.4561895461801947,0.009402737339896897,33
89,1623,0.04371265291353167,12,3,0.5657766199665605,0.4094116521912404,0.624148907849134,7.797687747880308,0.9746472651988699,1.1423792592039683,5.520571808519803,0.45608611182036557,0.011398066339414686,34
50,323,0.04122551165853691,1,18,0.3929894489788591,0.55158787254407,0.8766614859257927,3.7674896993794076,0.9853860506655043,7.495782999760721,1.6484426113700095,0.45561608736738946,0.009428813375143586,35
10,1778,0.0908566473926093,7,13,0.289751452913768,0.3143559810763267,0.6364104112637804,2.288081654916225,0.7556511385430487,0.7697990982879299,5.085806911647028,0.45549448200446907,0.012543175500586005,36
0,1338,0.05996584841970366,7,19,0.7080725777960455,0.9507143064099162,0.3745401188473625,8.661861457749351,0.058183612168199464,6.011150117432088,7.3200394181140505,0.45148090352050757,0.007135781956601112,37
99,434,0.047421011808133344,7,14,0.9710582451653678,0.9993534995658349,0.588263756969931,2.9735900737255077,0.6975202672468399,9.243961953765304,5.5581658143717965,0.4508151645496385,0.007633999605765805,38
39,1735,0.029863517450931087,19,17,0.31931363759041487,0.4965611906830777,0.5343274735305634,9.053919764192637,0.01093765148029836,0.9128667678613356,3.8962808621920346,0.449901359439985,0.011892806528879732,39
76,971,0.06000293647773265,11,10,0.9472833396118153,0.5655083473229738,0.598442701205227,4.008614167636399,0.5834917947661205,4.620058036441327,7.1618907473295215,0.448734974012236,0.008755475300434828,40
84,1024,0.01562402459307125,1,8,0.8974304098188842,0.400763060875326,0.44076274693822814,7.532562207474508,0.07560336380388923,2.7230185472029946,5.596503313082179,0.4471724599643919,0.008115382953854241,41
29,1473,0.008634746499376799,13,20,0.9758520794625346,0.21582102749684318,0.7699935530986108,6.374399014982066,0.5407351216101065,7.260913337226615,6.229004758190002,0.44671726334658574,0.010870024847188351,42
70,1419,0.018223306616566015,3,1,0.8279408871774919,0.7308674752036443,0.12429722348554473,0.4810464396408769,0.7216965507512771,7.815144817514149,9.383504568210379,0.44615110097332417,0.011323957017173281,43
88,1646,0.0911624003540304,5,20,0.26806364082287626,0.6429255636142532,0.8764440758752938,3.7970240816726695,0.25952343343129247,5.902949425148077,7.039561351385094,0.44524748609011533,0.013005848734368237,44
91,937,0.01726792858483035,5,11,0.274055220687206,0.9844021807035521,0.8349302367992991,1.1776108289014113,0.914398806560499,5.765164755142536,5.257001823026858,0.4451721756202828,0.012200072538067094,45
71,1533,0.01874049867881441,19,14,0.6829820634171324,0.7995371309195156,0.7505019247653135,3.1620658229649465,0.907966130462516,5.883066757950567,8.251426766927972,0.44368045499803266,0.006958931837178876,46
24,290,0.05732924691708384,1,20,0.4852798742763157,0.3307503046705137,0.9530718470239532,1.9092103115034602,0.30579701928718184,2.6847485689015684,5.527749668354899,0.44333007982434436,0.015241717542959256,47
64,1864,0.06085552222935729,13,6,0.36535681967405764,0.3374468338719181,0.37877262595128935,0.0754436313407474,0.9337918237598746,2.2533279771252825,8.996573971450122,0.4425401520593068,0.015353990432161119,48
56,1897,0.07699177413153975,5,2,0.24014561877819307,0.45934680794617244,0.7964717756738773,3.287616102875082,0.4927180939928696,6.334008543167258,8.421014150187096,0.4404963167724579,0.011873610057684171,49
82,426,0.05583053688900479,8,17,0.20990559309558576,0.9755413156827563,0.5151736824068126,0.6708647738842748,0.5954850173200438,7.499604703991778,4.58998988017013,0.43966135191156186,0.013362701376488205,50
85,932,0.08407888594565706,7,8,0.5055078791060338,0.800749771486121,0.5265784666592938,2.5389856404330433,0.5518225952593397,1.961130996934528,9.789414356159611,0.4389233643077553,0.0119131682900432,51
25,1411,0.09310168348108319,14,18,0.29529058841893874,0.3946914668094722,0.3726868670940493,3.5865678129616394,0.6712435168240506,2.5416364906973876,8.442231407263113,0.43877155390002665,0.010976101404219837,52
63,210,0.049944219892905733,15,4,0.5644585425226413,0.6791023191444896,0.5935924535540487,5.577522659504374,0.7369224753949128,5.865354346607591,7.891812386073383,0.43834176776434,0.008923164002322384,53
15,1307,0.02430552715115004,4,11,0.6323058305935795,0.489452760277563,0.1448948720912231,7.2822634861185955,0.23773754399239966,3.677831327192532,9.856604541106007,0.43828697620633106,0.009391298651547928,54
46,1782,0.09201157152786595,4,3,0.6957486889846172,0.04340078329817276,0.32268638827758367,5.231078441701488,0.969402535619099,6.293986381352625,9.24653330223596,0.4380441489344474,0.009460177468289073,55
13,1236,0.032420293202075526,9,20,0.6963042728397884,0.33761517140362796,0.1198653673336828,2.539254139343447,0.06499224710898156,2.468760628386012,9.429197039125192,0.43667617752008414,0.008734992845772558,56
51,922,0.003782186763599138,1,16,0.9966368370739054,0.5690814691657476,0.8291642207065144,8.129110091300776,0.8648223762550532,9.997176732861305,0.6352182959000134,0.43546005732283516,0.010024113786175189,57
83,1142,0.003754966784809488,16,8,0.52439026932758,0.20513964048200717,0.8980542894407137,7.755376166950105,0.06580863942835237,4.532888347480276,1.9069772066366657,0.43495799020255593,0.01199182011557603,58
72,1092,0.06251015441818376,1,15,0.5435528611139886,0.713782454855326,0.45194860129903924,8.995845732745684,0.2323126951468173,3.8389122137321143,8.99677445292173,0.4348031699124843,0.009796076788098969,59
90,620,0.04857783671503462,17,14,0.13935607407282413,0.4710654526938144,0.9853673122417347,6.3348821982614725,0.5417342146608669,2.578876854332023,1.8211713882158325,0.43342658321267385,0.015095612158590482,60
61,1018,0.013411692858747826,3,15,0.44741236682345464,0.06234136251124145,0.7205160613914648,5.3212348526531565,0.5117774421156661,1.0717201133977605,1.477490919062267,0.4332453931543002,0.012574601492649731,61
92,830,0.02074212717606032,10,6,0.1753712786234496,0.6514203883518642,0.5541780025157934,6.005268604336534,0.5975131021703083,6.650366745462555,8.297518037072017,0.4328789153507824,0.01110183681377755,62
28,781,0.05436446347075767,17,20,0.5222432600548044,0.035942273796742086,0.578280140996174,3.6020064141126293,0.8227005606596582,1.2706051265188478,4.656080181324601,0.43283224734448494,0.00969776954401783,63
97,1938,0.01378186309189614,10,17,0.6389493853342618,0.09158207332663415,0.3609738969400268,9.581807930039304,0.08680521186218361,7.583924139456815,9.173235754622429,0.43167332730684976,0.010896548055238806,64
41,1338,0.005855876001664429,5,3,0.6880300101750391,0.09120610304869037,0.7896181427945539,7.058414838786945,0.5460157701649889,9.68651943974135,4.944303047025814,0.4303840173183936,0.009225941261310279,65
79,1035,0.08384907890024922,1,19,0.2055798083756375,0.16552051036728976,0.2359060345950812,3.793156983855489,0.6079943937942587,7.442496518432888,1.8633087949412068,0.4295780791569988,0.021339941675439126,66
30,1112,0.02718322512620742,5,9,0.23978735915740323,0.32295647294124596,0.5163003483011953,9.152237276264804,0.05829359550844361,4.423522297311044,7.951961947687036,0.4290154826281919,0.019086969633327594,67
