,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
465,4.960192713389364,rbf,auto,17,0.003855921462660678,-0.8060416339362236,0.04880861236498388,86
387,4.991936302552227,rbf,auto,3,0.004096511588370999,-0.806041809562419,0.048801030560222176,87
148,4.999207490858682,rbf,auto,26,0.0034846858268207533,-0.8060418105937869,0.048796135658120986,88
64,5.063286374643877,rbf,auto,16,0.00417751247794619,-0.8060419479773374,0.0487603168035699,89
460,5.026801140619923,rbf,auto,24,0.004094397102499209,-0.8060420420693818,0.048790587924867866,90
112,4.931008323345549,rbf,auto,29,0.004195667510346817,-0.8060424610006687,0.0488135850573687,91
249,4.948494100726946,rbf,auto,25,0.0036880260304690956,-0.8060425093419561,0.04880753061374752,92
411,5.0740197747801865,rbf,auto,27,0.004374508363420997,-0.806042519083644,0.048750870233716034,93
24,5.049464022027476,rbf,auto,15,0.004144687545759647,-0.8060425423627915,0.048773361616411805,94
185,5.078228622739615,rbf,auto,22,0.00462421665111798,-0.8060425850388555,0.048744034021844865,95
479,5.08872318403352,rbf,auto,16,0.004287800460462493,-0.8060427103353941,0.048753425493811564,96
339,4.980152612175066,rbf,auto,6,0.0038277814053312036,-0.806042750813889,0.0487993098109919,97
208,5.099943534657227,rbf,auto,6,0.004566828761288214,-0.8060428278397573,0.048740454845832025,98
402,5.049012909624045,rbf,auto,20,0.004223746992675352,-0.8060429263392017,0.048775633052239475,99
163,5.010740610469161,rbf,auto,21,0.0037628726471884,-0.8060429377001949,0.048798953987204935,100
103,4.959058117683788,rbf,auto,26,0.0037048430887710224,-0.8060429507365017,0.04880224970769599,101
280,4.9213398500226875,rbf,auto,5,0.0041540970389386455,-0.8060433147986092,0.04880736366427612,102
219,5.024061910270693,rbf,auto,2,0.00402622333759681,-0.8060434276360239,0.04878378400176565,103
141,4.991650578098303,rbf,auto,19,0.004104197378719777,-0.8060438076962562,0.0487983108712012,104
218,4.996009193403696,rbf,auto,23,0.003776686278368095,-0.8060440783802634,0.048797107655337915,105
448,5.013146392799158,rbf,auto,13,0.0036705495947685087,-0.8060449624233161,0.048803042086828216,106
