,param_C,param_kernel,param_gamma,param_degree,param_epsilon,mean_test_score,std_test_score,rank_test_score
50,8.413997499504882,sigmoid,auto,8,0.7853416511139436,-0.9667794257953766,0.03968358503084686,39
20,44.94506841382034,poly,scale,1,0.06355935028602364,-0.9682547158532305,0.0677863565509105,40
25,31.43559910763267,rbf,scale,4,0.907567473926093,-0.9687795269591983,0.05229478023169583,41
26,41.03829330356297,rbf,scale,4,0.942854570557981,-0.9759760279636097,0.052698672854319215,42
40,63.352972076089465,poly,scale,1,0.15071854396542947,-0.9892255456387946,0.07370736020736693,43
11,20.794167286818883,poly,scale,4,0.18485545552552704,-1.0068457933731338,0.06340322748525126,44
60,4.360378175443375,linear,auto,5,0.883495022266259,-1.0416677011567141,0.08464477751714192,45
71,9.3981949840869,linear,scale,7,0.6720271352951994,-1.0683824122118055,0.08882846425481018,46
99,34.080355025301785,linear,scale,5,0.23859785979034018,-1.0885769638164728,0.09275233171675533,47
72,15.504162672774418,linear,auto,6,0.5908342605690108,-1.0932113470245806,0.09100191484007793,48
78,43.89714307056361,linear,auto,7,0.2508615273466612,-1.0974049626473414,0.09550922769831469,49
36,41.10370233182313,linear,scale,7,0.2786474642366114,-1.0991403860973659,0.09649924428155675,50
34,25.39154239343447,linear,scale,7,0.4972495058923854,-1.0992683817882383,0.0831186364142013,51
59,19.52429977980445,linear,auto,3,0.5720051992091831,-1.103191223741097,0.08776708031434463,52
53,99.44574726108206,poly,scale,4,0.7121802213475359,-1.1038803201814018,0.07059005601951322,53
24,52.273283938199405,linear,scale,3,0.03143018568673425,-1.1110804630441096,0.09494285249703216,54
9,68.32635288254582,linear,auto,8,0.0343895211152184,-1.118301151122121,0.0940197691753407,55
83,24.773099950115746,linear,scale,3,0.7578471104643691,-1.1186968010962912,0.09414364438558306,56
33,51.87906317433661,linear,auto,9,0.4038371710580408,-1.1204354818171747,0.09947636139311844,57
29,80.74401651640625,linear,scale,9,0.31800447497186385,-1.1210286278158712,0.10061724364180025,58
15,82.87375191519293,linear,auto,9,0.28093550968738074,-1.1211695055135549,0.09771377807303001,59
58,35.00784176946757,linear,auto,1,0.5769048846263591,-1.1231622602035682,0.08930196788492709,60
6,46.67629032479799,linear,scale,5,0.6075458519014384,-1.1371747242979662,0.09013189702088618,61
13,72.72720058564208,linear,auto,8,0.5704449744053994,-1.1486560285388914,0.0915191625672671,62
27,69.47849430397045,linear,auto,2,0.6243550481337933,-1.1537461641252955,0.09373865958855608,63
46,98.21683533294356,linear,auto,4,0.5296515783560065,-1.1591933206614053,0.09540696370614986,64
91,64.32882284423532,linear,scale,1,0.811205176736003,-1.1593546038927105,0.1021175350303645,65
96,69.67371753641507,linear,scale,8,0.7350720438038858,-1.1618312192526652,0.10354403783314399,66
44,93.67299987367345,linear,scale,1,0.6756911170392808,-1.1632543021190072,0.09777593969876916,67
18,70.68573538476171,linear,scale,3,0.7901765405312057,-1.1652020187042516,0.10499611824962637,68
57,39.309773466676035,poly,scale,6,0.906099787718554,-1.6266758977364097,0.0953204008643763,69
42,1.658783892785615,sigmoid,auto,3,0.8095020461397154,-1.6918503683801038,0.05759255382872006,70
67,70.89110069101186,poly,scale,7,0.29359284426449334,-1.7651301274197926,0.09682895235163813,71
12,77.51328333611146,poly,auto,2,0.3951512360018144,-2.2755720968389364,0.07972408450601413,72
0,37.454012884736244,poly,scale,8,0.5986594841970366,-2.4039048489189376,0.10256047523091726,73
73,3.734819874921442,sigmoid,scale,6,0.3032665146732228,-2.692999147593332,0.08149139594722198,74
51,58.068663143645466,poly,scale,9,0.6635027691080558,-2.7870689183046347,0.09847408580503128,75
79,8.087297661719766,poly,scale,9,0.6885009007653664,-2.8129210677086904,0.09874157780321259,76
64,93.61547841607809,poly,auto,3,0.570062170089365,-3.149672750097317,0.09698061480611332,77
70,70.19668872577033,poly,auto,3,0.3379961568515358,-3.150722157632246,0.09510230736177107,78
2,65.08884829488528,poly,auto,5,0.9699108521619944,-3.153566167948683,0.0887901694535878,79
95,34.062457946424,poly,auto,3,0.2818557747733999,-3.1539928933835997,0.09389568239097724,80
7,6.505160298527952,poly,auto,4,0.9422027556848528,-3.1540486225775672,0.08931978969612583,81
45,20.90716307377137,poly,auto,3,0.22855102179729966,-3.1546036467695737,0.0927624240313367,82
84,11.607265050691623,poly,auto,5,0.09415798826856012,-3.154697447195224,0.09002875341006623,83
56,63.633262818589536,poly,auto,6,0.24399064337908358,-3.1573418072090726,0.09310588569664341,84
10,25.877999160001693,poly,auto,8,0.7553624103176525,-3.157353231936182,0.09311969476526197,85
86,49.161588511683235,poly,auto,7,0.34630532108940076,-3.1591474576020806,0.09534254912900049,86
39,23.76375539923997,poly,auto,6,0.3677841327192532,-3.1595265115953772,0.09582518834915865,87
3,21.233912067827617,poly,auto,5,0.6174825096277166,-3.1597862907173733,0.09615879283798397,88
94,33.655422488872645,poly,auto,8,0.385397620965565,-3.15983735611331,0.09622425282523143,89
68,81.01134046791807,poly,auto,9,0.6115147108656805,-3.1598918470873807,0.09629451093887535,90
85,97.95105386215086,poly,auto,5,0.47417482908732517,-3.1614029919540902,0.09827933795720138,91
28,10.54942698302706,sigmoid,scale,4,0.8925599984899778,-7.4096309487800145,0.2839011006616585,92
16,14.092423497476263,sigmoid,scale,1,0.015637406741193932,-9.545348106222766,1.088096387979763,93
52,16.080806141749868,sigmoid,scale,2,0.4856147535862266,-10.793619826412385,1.3990721369680013,94
88,37.46126246264712,sigmoid,scale,3,0.5031372585800877,-25.002728200889592,3.1793274650355174,95
38,55.28930990713279,sigmoid,scale,7,0.6721365474058786,-36.97170766077869,4.478600970178811,96
41,69.58128167908818,sigmoid,scale,3,0.5908939431882418,-48.829548679198865,1.8540678810945208,97
19,92.63008885133489,sigmoid,scale,9,0.9149606755437808,-61.10418953851151,8.963383621001318,98
62,98.03315937160457,sigmoid,scale,4,0.29444989206958566,-68.97845249018546,1.836270986573427,99
98,99.05051520006732,sigmoid,scale,4,0.37201908579278314,-69.54887855138158,1.6803899974241394,100
