,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
328,2.3954196000624277,True,-1.3909011710228474,0.16283918980383008,55
1224,2.395419727316926,True,-1.3909011710229904,0.16283918819426235,56
639,2.3953772841631045,True,-1.3909011710237746,0.16283972503300484,57
739,2.395376944429425,True,-1.3909011710240424,0.16283972933006802,58
1064,2.395421357002277,True,-1.3909011710242585,0.1628391675814171,59
516,2.395376463366878,True,-1.3909011710243495,0.16283973541478441,60
904,2.3954214245505927,True,-1.3909011710244084,0.16283916672710233,61
448,2.395376259585531,True,-1.3909011710246746,0.16283973799228962,62
1357,2.3954217209268736,True,-1.390901171024686,0.16283916297838816,63
282,2.39537558295264,True,-1.3909011710251789,0.1628397465506967,64
465,2.395374870579524,True,-1.3909011710258086,0.16283975556113095,65
348,2.3953746126146265,True,-1.3909011710260666,0.16283975882405977,66
0,2.3953745401188473,True,-1.3909011710260952,0.16283975974099835,67
442,2.395374270795756,True,-1.3909011710263173,0.1628397631475286,68
452,2.395424222009247,True,-1.3909011710268788,0.16283913134384984,69
804,2.3954241306713024,True,-1.3909011710269543,0.1628391324991745,70
870,2.39537330931628,True,-1.390901171027318,0.16283977530877933,71
1491,2.3953732517916295,True,-1.3909011710273937,0.16283977603638863,72
924,2.395425213504469,True,-1.3909011710278816,0.16283911880313134,73
1128,2.3953726885170123,True,-1.3909011710278825,0.16283978316097095,74
691,2.3954254364386163,True,-1.3909011710280903,0.16283911598337683,75
1345,2.395425493334448,True,-1.3909011710281398,0.16283911526372213,76
392,2.395372018085793,True,-1.390901171028521,0.16283979164093013,77
1210,2.395426181302236,True,-1.3909011710289134,0.16283910656208014,78
1347,2.3953710387629847,True,-1.3909011710294554,0.1628398040279019,79
125,2.395427107788626,True,-1.390901171029744,0.16283909484356884,80
443,2.395370642147067,True,-1.3909011710298762,0.16283980904445863,81
622,2.3953704721027913,True,-1.3909011710300876,0.16283981119530244,82
97,2.3954275410183588,True,-1.3909011710303865,0.16283908936390945,83
243,2.3953701587002554,True,-1.3909011710304657,0.16283981515938675,84
1075,2.395427773133736,True,-1.39090117103061,0.16283908642805375,85
246,2.3954281841483174,True,-1.3909011710309407,0.16283908122943927,86
625,2.3953689136395697,True,-1.3909011710317962,0.16283983090752416,87
397,2.395428994027375,True,-1.3909011710319619,0.16283907098583464,88
1235,2.3953685263437237,True,-1.3909011710321804,0.16283983580628014,89
160,2.3953677831327194,True,-1.3909011710330472,0.16283984520674222,90
223,2.3953677158030593,True,-1.3909011710331223,0.16283984605841206,91
1255,2.3954303058948994,True,-1.3909011710334787,0.16283905439291402,92
1396,2.395430887523662,True,-1.390901171034115,0.16283904703626417,93
1485,2.3953664615348713,True,-1.3909011710347463,0.1628398619230186,94
23,2.3953663618432937,True,-1.3909011710348962,0.16283986318403518,95
654,2.3954316595462295,True,-1.3909011710350838,0.16283903727150045,96
18,2.3954319450186423,True,-1.3909011710353116,0.1628390336607121,97
1222,2.3954323348010425,True,-1.3909011710358432,0.16283902873065567,98
607,2.395364269861048,True,-1.3909011710374801,0.16283988964449125,99
343,2.395433851649238,True,-1.39090117103779,0.1628390095450989,100
138,2.3953636296023793,True,-1.3909011710383399,0.16283989774280122,101
657,2.3953630822963987,True,-1.3909011710389958,0.16283990466542506,102
987,2.3954348273386037,True,-1.3909011710391774,0.16283899720431083,103
837,2.395362393899117,True,-1.3909011710399608,0.16283991337263298,104
1479,2.395435583314813,True,-1.3909011710401606,0.1628389876424873,105
915,2.3954361265291353,True,-1.390901171041008,0.1628389807717446,106
994,2.39536097389694,True,-1.390901171041886,0.16283993133359653,107
567,2.3954374749220237,True,-1.3909011710427044,0.16283896371685244,108
293,2.3953601906414113,True,-1.3909011710429553,0.16283994124062948,109
268,2.3953594911512197,True,-1.390901171044136,0.1628399500881708,110
1378,2.3953592333694,True,-1.390901171044481,0.16283995334869705,111
1352,2.39543861541919,True,-1.3909011710445465,0.16283894929154502,112
310,2.3954389714207056,True,-1.3909011710449715,0.16283894478876054,113
734,2.3953588304841236,True,-1.3909011710451067,0.16283995844462873,114
738,2.39543913490857,True,-1.3909011710452739,0.16283894272090815,115
78,2.3953584657285445,True,-1.3909011710455659,0.16283996305829332,116
545,2.3953581627180327,True,-1.3909011710459835,0.16283996689094302,117
39,2.3954401524937396,True,-1.390901171046868,0.16283892985016313,118
863,2.3954407627469383,True,-1.3909011710477601,0.16283892213155138,119
63,2.3953567533266935,True,-1.3909011710483488,0.16283998471768799,120
426,2.3954415305013734,True,-1.3909011710490187,0.16283891242075524,121
660,2.395356096725898,True,-1.3909011710491528,0.16283999302273733,122
330,2.3953559726786513,True,-1.390901171049496,0.16283999459172577,123
965,2.395355672716465,True,-1.390901171050003,0.1628399983858353,124
1068,2.3953546221576407,True,-1.3909011710516737,0.16284001167389806,125
1443,2.3954437502193047,True,-1.390901171052717,0.1628388843451609,126
495,2.395353352228026,True,-1.3909011710538701,0.16284002773664635,127
1376,2.3954453052550027,True,-1.3909011710553814,0.16283886467669909,128
1207,2.395445902706377,True,-1.3909011710562347,0.16283885711993276,129
999,2.395446005772958,True,-1.390901171056481,0.16283885581633076,130
428,2.395350915012552,True,-1.390901171058134,0.16284005856395756,131
1055,2.3953507118154516,True,-1.3909011710584063,0.1628400611341032,132
564,2.3953505875588066,True,-1.3909011710586423,0.16284006270576476,133
1287,2.3953506269312093,True,-1.3909011710586698,0.16284006220777258,134
635,2.3954474123668237,True,-1.3909011710589136,0.16283883802532004,135
1099,2.3953501252591667,True,-1.3909011710594419,0.1628400685532121,136
415,2.3954484455219784,True,-1.3909011710608765,0.16283882495776547,137
195,2.3953492095746127,True,-1.3909011710612436,0.1628400801353237,138
1489,2.3954486936226225,True,-1.3909011710614692,0.16283882181969236,139
714,2.395348868266543,True,-1.3909011710617318,0.16284008445240308,140
569,2.3953482554670233,True,-1.3909011710629813,0.16284009220346005,141
1141,2.395347809207902,True,-1.3909011710637635,0.16284009784798228,142
538,2.39545054413531,True,-1.3909011710649062,0.16283879841400395,143
808,2.3954508393714042,True,-1.390901171065442,0.16283879467978202,144
827,2.395346953201896,True,-1.3909011710654553,0.16284010867524057,145
1211,2.39545138702433,True,-1.3909011710665744,0.16283878775291616,146
826,2.395346345994366,True,-1.3909011710666452,0.16284011635555878,147
1346,2.3953459349925468,True,-1.3909011710674357,0.16284012155412456,148
1192,2.395345883056953,True,-1.3909011710675367,0.1628401222110662,149
783,2.395345695993504,True,-1.3909011710680717,0.162840124577164,150
1418,2.3954521990282833,True,-1.3909011710680725,0.1628387774824517,151
593,2.395345667283324,True,-1.390901171068132,0.1628401249402944,152
829,2.39545221794089,True,-1.3909011710682881,0.16283877724326914,153
1314,2.3954523182845184,True,-1.390901171068476,0.16283877597409965,154
831,2.3954524395161325,True,-1.3909011710687385,0.16283877444075112,155
861,2.395453288834748,True,-1.3909011710703214,0.16283876369834901,156
1389,2.3954537895413837,True,-1.390901171071477,0.16283875736527162,157
482,2.3954545410647676,True,-1.390901171072985,0.16283874785985686,158
1430,2.395454739855634,True,-1.3909011710734238,0.16283874534549733,159
1263,2.3954552201490817,True,-1.3909011710743253,0.16283873927068027,160
490,2.3954556567527856,True,-1.3909011710752015,0.16283873374835758,161
768,2.395342081748716,True,-1.3909011710753272,0.1628401702922878,162
1181,2.3953418721660387,True,-1.3909011710758514,0.16284017294319833,163
