,param_alpha_1,param_alpha_2,param_lambda_1,param_lambda_2,param_tol,mean_test_score,std_test_score,rank_test_score
2232,5.043904228558364,6.495013179344039,33.39194070319761,7.618053549549525,0.00017454794015737978,-0.742216809332219,0.05522506352992235,942
4621,13.120163169418358,16.567381144603953,31.66124384660221,7.216856993076978,0.00018954819176819553,-0.7422168227520666,0.05522638312550467,943
768,10.631444053734624,0.6531822156899175,19.023848672880334,4.0774820500273234,9.060940598756128e-05,-0.7422168418636061,0.05523650096799073,944
4828,11.872295087611214,18.247062739782766,18.08643108836629,2.2526587869505503,9.089429251181513e-05,-0.7422168870170821,0.05535187636804338,945
3359,2.9431550192744678,2.868373244725499,6.709777245584109,0.455726216138203,0.0004610770943264558,-0.7422169013450335,0.055338246471606484,946
1795,11.086452961673107,6.574920766992132,28.81734908903112,6.437707081012447,0.00017640918054583597,-0.7422169032132275,0.055227803680386135,947
221,3.477905984389746,7.924841378053175,30.329540028163652,6.960207180537922,8.694795316992753e-05,-0.7422169158033908,0.05522641330060591,948
142,15.20455819779373,11.912775812156886,18.863048542006336,4.118410141472686,0.00018443413327149765,-0.7422170352819573,0.05523655897959121,949
2898,17.400960932127838,14.9253222266441,8.761535465682337,0.7189951865749605,0.0003678368884276698,-0.7422170604779886,0.05534438060930175,950
3368,18.125348945796606,17.009046467245174,32.985259719564525,7.4496529846089325,0.0003267160156409801,-0.7422170699851967,0.05522548020658089,951
1278,1.7628458678158425,8.273311471664138,30.00643431818404,6.93400953429044,0.0005053213685860896,-0.7422170973105604,0.055226172113817605,952
1868,13.480028421397071,10.830126642449757,33.737112828361965,7.617428064695159,3.914860193117852e-05,-0.7422171165073609,0.05522480307826405,953
3386,12.435188721907945,6.298807113624991,6.552547543772615,0.4014787002874037,9.337278431296829e-05,-0.7422171305320783,0.05533602885231711,954
940,4.999458817376594,1.4672823491920532,26.525850959008352,5.9536647015687265,0.00021757282699637285,-0.7422172052337066,0.05522844220488358,955
184,17.369360517958256,9.748624964990272,35.782090075763655,7.9985535594731525,0.00022260675223461672,-0.7422172227851661,0.05522387461684306,956
4524,7.130843864285445,18.811186215136896,9.617926016323178,0.9500286182293066,4.4642450722112916e-05,-0.7422172907335478,0.055346525647099715,957
1168,8.347659836009464,2.8862418737496305,3.7423772764934222,0.166716505996331,0.00044676713212260733,-0.7422173063611474,0.05530894788783627,958
1026,11.184363635369161,10.294844875135597,3.983189541601157,0.16028256455123122,0.0004918425943435245,-0.7422173301413129,0.05531659706673859,959
3173,1.5373430676350968,15.99782708537634,37.01312315456654,8.744444882061595,0.0001808788011492814,-0.7422173401898873,0.05522265983769558,960
3180,6.501031472191751,4.65559468874958,10.59723644889624,2.2127009862588096,0.00010791252442757886,-0.7422173600794434,0.055248341232785006,961
1302,1.0466581460132567,15.656973359733149,33.82043343362241,7.990822457719545,0.00026423951765401307,-0.7422173783270315,0.05522389342413666,962
4105,2.4980798925433474,19.537230375931276,39.42049261553913,9.367195793273511,0.0002580174047031322,-0.7422174228011584,0.05522172235746286,963
4604,14.655238227633657,2.501425789011382,11.079211398997364,2.2127685537223325,0.00019992731438122607,-0.7422174568777453,0.05524791722466727,964
4084,8.120116465641518,16.168046995951226,23.804686232984153,5.479145436766492,0.00047332098376672265,-0.7422174757184973,0.05523030844538574,965
4083,4.165712721284673,15.878775130639125,37.92651320081223,8.911032441677026,0.00017071787265350856,-0.7422175087598089,0.05522213939037087,966
4982,12.456003769546195,2.30828578182636,5.089727909721324,0.7188799140512264,0.0003567930411320835,-0.7422175126687683,0.055275830354048296,967
1363,2.6176237710715196,4.711319691890025,37.3001591238953,8.59503075624898,0.0003648925251119863,-0.7422175155867026,0.055222159735222695,968
3467,19.791742482813397,0.14621077309881544,10.539336085716121,1.9986039727419884,1.6996705085231314e-05,-0.742217529717822,0.05525035283529362,969
1400,0.7759900945777493,3.7354515646225868,33.249833203597696,7.667684563383357,0.00018532134572857344,-0.7422175299381799,0.055223761495940736,970
3853,17.641011339319316,0.6448083999310888,30.0682394071726,6.554658014764295,0.00039387040492635454,-0.7422175691904934,0.055225988037163436,971
2074,7.300507080776462,18.089479545625753,20.129134815444704,4.647843059375008,0.000508756872830948,-0.7422176567252609,0.055233296458468244,972
1978,14.340959774142094,1.6854121836153106,32.47446899330336,7.189070446047904,0.00037480332461767134,-0.7422176626825918,0.05522445942348233,973
1723,19.007596029641864,19.166554729627737,3.90829201547034,0.1499860037713668,9.055001162821112e-05,-0.7422176790487639,0.05531653469970358,974
1680,9.980724458081626,18.63070198310524,23.3333173995407,5.383842868964332,0.00023724136647767835,-0.7422177538717525,0.05523027067949341,975
852,2.302924567904023,17.665473028524477,16.59302722085408,3.8727451142484135,0.0003398451364652372,-0.742217800816952,0.05523665452114015,976
489,6.046665987029875,5.186698946341889,7.7849544681948775,0.5764768219902489,0.00018122398941735666,-0.7422178072014903,0.055344514574941044,977
3609,13.479626446331013,16.98517352999293,5.541898697787772,0.3075304050971633,0.00047718727019125073,-0.742217958062071,0.05533442424084163,978
710,16.076098809669503,2.7429707630548634,23.2279643821714,5.055088603898639,8.203939300659979e-05,-0.7422179880479385,0.05523024980688963,979
1785,11.886635678531915,11.872211888928286,6.56739956225435,1.2346367373073601,0.0005000259714882425,-0.7422179959711733,0.05526228489929171,980
4074,2.231380847696542,8.323754218673914,31.601071465691387,4.3871164888380045,0.00022596256067296128,-0.742217999393404,0.05535865818914269,981
3223,17.67803729920217,18.741093671315507,13.637436212567826,2.970770577964727,0.00012703124628603746,-0.7422180202487845,0.05524170438650956,982
3251,19.924842972340414,14.731145059396889,3.498007260110147,0.20249479790092115,0.00036964390007614015,-0.7422180305322874,0.05530042939438761,983
2712,1.2775166772377682,7.128358103155752,24.043072960255707,5.561156414872131,0.00021232770895233326,-0.7422180666608451,0.055228473144204676,984
3969,0.8831219822346242,3.152685634336356,2.839568646055459,0.0987970664205656,0.00016299820437861828,-0.7422180876955179,0.05530503114073391,985
3259,6.512896538997854,4.724940354302293,36.33530289485056,5.026494346222822,0.00033806852204101,-0.7422181094369468,0.05535993593273569,986
3944,10.785966276685224,5.559164142619699,19.74309854688729,4.366314208941603,0.00014452552754024283,-0.7422181099188274,0.05523305513211541,987
644,10.298667998265188,3.227257021107674,3.34217450042759,0.1912906643728701,9.287408848261035e-05,-0.7422181805840933,0.05529800858600387,988
1185,14.351228652970715,15.53642834480562,26.936790156457306,6.1449956025519255,0.00045623454697600585,-0.7422181827593615,0.0552268332058664,989
3934,17.358223634785226,13.477971757214403,26.568719891155293,5.976822280278076,0.00011146294285099411,-0.7422182216528703,0.05522718232284577,990
3852,8.06151185400456,19.939739017817235,6.934318208455307,1.4548274959926015,0.00046752786488807725,-0.7422182437814324,0.05525825219853394,991
4889,16.067552428758425,8.789838329562784,5.883440690815475,1.0029706692788924,0.00015897022936451954,-0.7422183114127571,0.05526570714882501,992
1625,0.004859688690254631,2.5387221534835276,37.34461611340376,8.673547391153578,0.00012680451601811843,-0.7422183122665562,0.05522074965145173,993
725,5.264947930360224,0.013068815225991097,34.826762365020706,7.925949132091348,0.000323664467545339,-0.7422183250518176,0.05522192506974889,994
3904,17.902915736491355,13.706776638427124,16.539652659747208,3.615555958702616,0.00037897400414166023,-0.7422183539235763,0.05523684118288048,995
2491,2.993470291672022,4.526617794741491,18.743193175005562,4.248680270680111,0.00015444364968711336,-0.7422183717728859,0.05523304653607963,996
1843,6.588334147488859,10.737365359412042,36.43179822039795,8.465544224654028,7.374986333599287e-05,-0.7422183781721305,0.0552213598750476,997
1395,8.72094048237158,14.973444505019815,33.116999181812496,7.71243174033178,2.9406473905901056e-05,-0.7422183960953702,0.05522287706563126,998
723,1.7403453660557748,11.135699218563758,33.80483505984139,7.959264871435024,9.756157006517662e-05,-0.7422184587247898,0.055222146584178906,999
1266,0.7513255908796118,14.343629940935154,21.52378756484445,5.087060842162667,0.00013156226521133434,-0.7422185197919607,0.05522974127321086,1000
196,6.684878816339217,15.418245074916438,4.263931125350872,0.7513788173580876,0.0003740943781018017,-0.7422185334230982,0.05527118679569946,1001
2381,15.126636729603181,15.599245047775586,19.11509322612231,4.29882858124848,1.5514042134450172e-05,-0.7422185660651703,0.05523306527562481,1002
3072,17.742840973882878,0.9848890281657824,5.455416717347072,0.8240453458404445,0.0004315549782882014,-0.7422186009997451,0.05526803941715521,1003
695,16.05621969649001,19.218403938576493,21.437404154084728,4.884957326599054,0.00021094359994536504,-0.7422186121533784,0.05523064153762627,1004
4343,4.135318188674012,5.722419156475744,19.728594743823745,4.497346010699739,0.0002702850534349405,-0.742218697633173,0.055231387007658866,1005
3872,1.1630615597970022,17.042655392387726,29.217452774147652,6.986154060111208,0.00017983816927283442,-0.742218716671884,0.05522397157923785,1006
3560,19.429542405405478,18.868548325005666,10.639302575197673,2.2633837843748603,0.0004887452655106105,-0.7422187207192773,0.055245767880096705,1007
3521,7.832038618431109,1.4968574294281016,19.0058882062753,4.2168174685289435,0.000232192513319028,-0.7422187227746893,0.05523239832628511,1008
614,14.13259839757419,12.200149341589713,12.516296768545928,2.710963537640658,0.0003088341413513516,-0.7422187342827198,0.05524182144318661,1009
4265,10.617127347994678,19.3774637736521,36.12559061896722,5.120009566141597,0.00046283981768849037,-0.7422187695234078,0.055360480951696225,1010
706,5.567370633253132,15.965864944183734,13.05015772164587,2.993834737053483,0.00012625299610391562,-0.742218815443283,0.055239864576855,1011
212,17.473543283726777,19.681670383985903,30.73093755458073,4.177668821673338,0.0002206785011385351,-0.7422188381398478,0.055358911551765644,1012
4192,17.094492882368712,2.9970994117058876,37.837115451843026,5.074744546634075,0.0004732069392918489,-0.742218896222129,0.05536088209820429,1013
1166,19.924490860892774,9.490672252448814,32.64227128457294,4.320673850666178,0.00040819536130985446,-0.7422188985258459,0.05535945586524909,1014
1852,9.07507620500707,10.138603321543888,27.495597507428585,6.332835823329955,0.00041536033647258746,-0.7422189448181498,0.0552248695237955,1015
1242,9.930309444612096,2.466370821505845,16.038814067534073,3.507098879920843,0.0003964200417132517,-0.7422189500366061,0.05523572138775175,1016
2767,12.49117371834789,19.259519847289713,33.26139989787501,4.635523233026857,0.0003787447422299597,-0.7422189535230677,0.05535988699309179,1017
1249,12.134325039400077,3.3357477036734835,31.896823157666574,7.201114335149457,5.3067885774518144e-05,-0.7422190121021102,0.05522248573726824,1018
4774,7.426668168546923,17.037284490283,31.701950651728858,4.4275438575061825,0.00037228752887619377,-0.7422190160352091,0.05535963832879306,1019
4632,18.78495545750218,6.3215953735901005,32.02765954297141,7.153471212874742,0.0004054588001390646,-0.7422190597262432,0.0552226537259665,1020
2509,2.017777042117179,12.111406477878605,27.194915957886995,6.4293130816076,0.00044056512152239064,-0.7422190941353861,0.05522448387989736,1021
4356,7.094076162484181,18.36456211393214,39.862165327035235,9.453680748120025,0.0003747099966271284,-0.742219098621875,0.05521907023122564,1022
3242,19.355087467462432,2.0300781660707097,19.909873678255043,4.280478919420747,0.00017301172613899246,-0.7422191080933438,0.055231446053019786,1023
3469,13.182271432430948,8.795371077762871,27.893031812716632,6.339735084404421,6.732390151108824e-05,-0.7422191120072876,0.05522454714566118,1024
2204,14.055658543319497,0.840116348376238,36.27491427276211,4.844729090331926,0.00024016349238891642,-0.7422191663152347,0.055360853588429154,1025
4239,3.8064254631203527,17.434928543851147,30.301975285755578,7.2265043466155525,5.340228685731762e-05,-0.7422191809916275,0.05522278012968482,1026
2994,19.99610388267603,9.859849582090634,8.339779998170421,1.6284667527909473,3.117487373820715e-05,-0.7422191974445955,0.05525180134979956,1027
2650,14.576683942446069,8.827202573712428,13.545588787458735,2.934786773590144,0.00011573516002487326,-0.7422192046347276,0.055239170863600355,1028
2462,12.289621164059646,13.593503622812696,14.048786226702786,3.1387947348376493,0.0003521048352941853,-0.7422192591354707,0.055237975244870605,1029
3110,9.822771713916536,6.136763614052367,4.077277271222803,0.627216909013884,0.00018443336089758866,-0.7422192772346022,0.05527107868833096,1030
