,param_hidden_layer_sizes,param_activation,param_solver,param_alpha,param_learning_rate,param_max_iter,param_early_stopping,param_n_iter_no_change,param_tol,mean_test_score,std_test_score,rank_test_score
157,"(175, 450, 350, 75, 50, 350)",relu,adam,0.6062018810558386,adaptive,7500,True,14,0.004353637300082274,-0.8256807473882123,0.07194670804958302,42
156,"(350, 50, 275, 100)",relu,adam,0.25474065476376384,constant,7500,True,12,0.002465831005259461,-0.8256865448231918,0.05306137768383189,43
152,"(500, 200, 300, 400, 300)",relu,adam,0.42553643861641677,constant,7500,True,14,0.0031531002122081628,-0.8269190703616278,0.06518742644304441,44
186,"(200, 475, 450, 375)",relu,adam,0.7805957075460876,adaptive,7500,True,13,0.0026758684120340628,-0.828361740865893,0.07893011066866934,45
218,"(275, 100, 75, 100)",relu,adam,0.6234325509049907,constant,7500,True,12,0.0018577008056710942,-0.8285287848581777,0.08257309713844395,46
153,"(300, 425, 175, 100, 250, 50)",relu,adam,0.28873055324025576,adaptive,7500,True,14,0.0025057005092740873,-0.8285645654460637,0.06673961220182575,47
51,"(500, 450, 200, 200, 425)",relu,adam,0.5027370931051921,invscaling,7500,True,12,0.0012509263412077765,-0.829462800920588,0.058446539716225,48
3,"(475, 375, 175, 75)",relu,adam,0.8325426408004217,adaptive,7500,True,12,0.0016212112147976888,-0.8308226964447316,0.057570374583882845,49
227,"(450, 425, 350, 425)",relu,adam,0.6975202672468399,invscaling,7500,True,13,0.00482133244556717,-0.8311967459676788,0.0727357020928449,50
230,"(300, 425, 175, 100, 250, 50)",relu,adam,0.07705320162920916,invscaling,7500,True,13,0.0021224272484092538,-0.8316225227830382,0.050622761539251174,51
60,"(400, 275, 500, 400, 500, 150)",relu,adam,0.8102133946791807,constant,7500,True,13,0.0026075814734359977,-0.832877737924407,0.06522378304952209,52
112,"(375, 500, 375, 300)",relu,adam,0.41135511658536905,adaptive,7500,True,14,0.001983694849689704,-0.8349387445470772,0.05047590060391133,53
160,"(475, 200, 275, 75)",relu,adam,0.048194643964087694,invscaling,7500,True,12,0.0011081366002387227,-0.8349873561661397,0.052660695975456154,54
64,"(500, 500, 400, 425)",relu,adam,0.030600249939049428,adaptive,7500,True,13,0.0019009532070563145,-0.835084913036144,0.06374096590728622,55
144,"(400, 375, 175, 475, 150)",relu,adam,0.28387590579872446,adaptive,7500,True,13,0.0018804836294892312,-0.8353110189032641,0.07273561990925054,56
20,"(375, 50, 200, 275)",relu,adam,0.8490138242660838,adaptive,7500,True,14,0.0013803416138066199,-0.8362251147686152,0.08042934029655939,57
135,"(375, 450, 75, 500)",relu,adam,0.00269502438364656,constant,7500,True,12,0.0010226050967818865,-0.8376329910531334,0.06013768341569246,58
29,"(150, 400, 425, 75, 400)",relu,adam,0.534189419375442,constant,7500,True,12,0.0014470616689926075,-0.8383107144459305,0.06553948644455457,59
45,"(150, 500, 475, 300)",relu,adam,0.8510284487675127,adaptive,7500,True,13,0.001961413832808715,-0.8390052826346919,0.09100825207145902,60
217,"(300, 475, 475, 75, 400)",relu,adam,0.8416296603100434,adaptive,7500,True,14,0.0008733607044161812,-0.8390202699967657,0.06114391930606165,61
73,"(475, 400, 425, 450, 350, 75)",relu,adam,0.34197966671640156,constant,7500,True,14,0.001657066546956471,-0.8396387754086374,0.06471149840217716,62
178,"(200, 475, 375, 450, 250)",relu,adam,0.7365442356247228,constant,7500,True,13,0.0023541968570206604,-0.8412641944599099,0.057836074263205806,63
232,"(400, 500, 400, 100, 425, 375)",relu,adam,0.5202681098787318,adaptive,7500,True,13,0.0024097142528779376,-0.8413808162495972,0.06986318219768323,64
100,"(500, 200, 375, 200, 250)",relu,adam,0.7672948531085717,constant,7500,True,14,0.0012875323564623497,-0.8416238678110501,0.10048607347716604,65
83,"(400, 400, 475, 150, 50, 150)",relu,adam,0.11826482762165626,constant,7500,True,12,0.004937902757601238,-0.8419882829727285,0.0643607471286068,66
102,"(400, 300, 150, 500, 150, 400)",relu,adam,0.01225447468981634,constant,7500,True,12,0.004555715568490356,-0.8432671253365962,0.06880638078967213,67
234,"(500, 300, 450, 275)",relu,adam,0.07012970574747103,constant,7500,True,13,0.0021096545680462106,-0.8437520174371687,0.05843016403079159,68
124,"(500, 500, 400, 425)",relu,adam,0.9042586944937484,constant,7500,True,13,0.004018265063705716,-0.8451726081034314,0.07603858782313005,69
38,"(250, 250, 500, 275)",relu,adam,0.5909929431882418,invscaling,7500,True,13,0.0041475052306985775,-0.8455568952093463,0.06617248358778527,70
9,"(300, 75, 500, 200, 100)",relu,adam,0.6833635188254582,constant,7500,True,14,0.004646602010393911,-0.8460489131814404,0.05576272459492821,71
206,"(350, 50, 275, 100)",relu,adam,0.40265004359698053,adaptive,7500,True,13,0.002208519672766409,-0.8475128370093881,0.060027835269847195,72
239,"(175, 375, 250, 175, 475, 500)",relu,adam,0.39173014054035604,invscaling,7500,True,13,0.00403172507207776,-0.847760381324791,0.09246793216261959,73
140,"(500, 450, 200, 200, 425)",relu,adam,0.10496916653248091,adaptive,7500,True,14,0.004303549929389656,-0.847826318212676,0.07589175610694816,74
50,"(100, 200, 50, 50)",relu,adam,0.5899708475605439,adaptive,7500,True,14,0.004074056517708242,-0.8486491683343779,0.06834418571346192,75
32,"(275, 475, 450, 475, 275, 375)",relu,adam,0.14818692995339988,constant,7500,True,14,0.004983074779163265,-0.8498766448710475,0.07388049493533576,76
43,"(300, 425, 175, 100, 250, 50)",relu,adam,0.8973157579533267,invscaling,7500,True,14,0.0014943567629609094,-0.8502111197982318,0.09746922971775136,77
161,"(200, 425, 425, 275, 400)",relu,adam,0.1637559428657045,constant,7500,True,12,0.0034259861034810005,-0.8504692654905807,0.06771146400301058,78
115,"(300, 475, 475, 75, 400)",relu,adam,0.8648223762550532,constant,7500,True,14,0.005083184185369527,-0.8525046868863345,0.07385463528097724,79
92,"(350, 425, 175, 150, 100, 475)",relu,adam,0.057658760016644287,adaptive,7500,True,12,0.004538520913791499,-0.8529611027077157,0.0661243310589071,80
242,"(475, 200, 275, 75)",relu,adam,0.40168023642548745,invscaling,7500,True,13,0.004253212588753124,-0.8535645148676989,0.07129479455810005,81
133,"(450, 425, 75, 350)",relu,adam,0.3301995133101554,constant,7500,True,13,0.002505726970281466,-0.854967490393349,0.07105046958901459,82
101,"(400, 275, 500, 400, 500, 150)",relu,adam,0.4003228928720248,constant,7500,True,13,0.004916112697203057,-0.8555550575710059,0.05093934673402933,83
194,"(475, 400, 425, 450, 350, 75)",relu,adam,0.02548635566034486,adaptive,7500,True,14,0.0021399224768242236,-0.8558756934276712,0.08615457683746733,84
35,"(275, 475, 450, 475, 275, 375)",relu,adam,0.08095332633271525,invscaling,7500,True,12,0.004115698781899479,-0.8566119863711327,0.07312083426815703,85
109,"(175, 450, 450, 250, 250, 175)",relu,adam,0.30962761628632773,constant,7500,True,12,0.004654635922469213,-0.8566323468026118,0.07410825618902937,86
170,"(475, 375, 175, 75)",relu,adam,0.34218174871590745,constant,7500,True,14,0.004332261458672592,-0.8568064542525008,0.08074445943835112,87
6,"(50, 50, 150, 200)",relu,adam,0.19977378215835973,constant,7500,True,14,0.003137724259507192,-0.8598458825371329,0.0665841795075482,88
192,"(175, 200, 75, 275)",relu,adam,0.7654562810662406,constant,7500,True,12,0.004830577310668164,-0.8603184886471988,0.06359592094617178,89
141,"(300, 75, 500, 200, 100)",relu,adam,0.0893043287120562,constant,7500,True,12,0.003067962267770243,-0.860656691090154,0.062280933552015305,90
95,"(275, 100, 75, 100)",relu,adam,0.8219600592903562,constant,7500,True,12,0.0012661403621226392,-0.8625378731872557,0.15131038741125277,91
167,"(250, 300, 350, 250)",relu,adam,0.8787291153734382,adaptive,7500,True,14,0.004042986056122654,-0.863350632639078,0.05858921169026961,92
190,"(200, 75, 175, 350)",relu,adam,0.3778259474401693,invscaling,7500,True,13,0.003977638083475053,-0.8645526982144807,0.07688979857843216,93
247,"(100, 500, 400, 475, 400, 175)",relu,adam,0.4634807482156199,constant,7500,True,14,0.0030646996742085156,-0.8652848220422488,0.07907615749693207,94
121,"(375, 425, 150, 175, 50)",relu,adam,0.5900558971376361,invscaling,7500,True,14,0.003201547756767323,-0.8657422722500924,0.05905397166605913,95
104,"(275, 500, 100, 300, 75)",relu,adam,0.5231978441701488,adaptive,7500,True,14,0.005079156875146854,-0.8659161175972603,0.10520055690603923,96
91,"(425, 275, 150, 475, 100)",relu,adam,0.7916790437258485,invscaling,7500,True,12,0.0025721015235129073,-0.867970834112737,0.06708262778366116,97
168,"(500, 200, 300, 400, 300)",relu,adam,0.15177487973275117,constant,7500,True,12,0.0038197314628633846,-0.868121759048487,0.079708464878697,98
231,"(175, 200, 75, 275)",relu,adam,0.5725277594334657,constant,7500,True,13,0.003789278834532625,-0.8711077636090563,0.06486267257258399,99
164,"(425, 250, 100, 200, 475)",relu,adam,0.7477093801762511,constant,7500,True,12,0.004597872866372843,-0.8717634551792974,0.06526090037353709,100
96,"(375, 500, 375, 300)",relu,adam,0.5814054172267823,adaptive,7500,True,12,0.004638468531742732,-0.8720902185548584,0.09617157808273541,101
97,"(375, 450, 75, 500)",relu,adam,0.5919887388212843,adaptive,7500,True,14,0.003985734579637184,-0.8730745801569958,0.08640033788130506,102
25,"(300, 375, 400, 300, 500, 425)",relu,adam,0.929797652342573,adaptive,7500,True,12,0.004457302950938589,-0.8763041859000518,0.09286819657290968,103
199,"(175, 175, 150, 375)",relu,adam,0.08702501495034932,invscaling,7500,True,12,0.004340640477334418,-0.8807616555410211,0.08367599736083428,104
172,"(150, 350, 100, 275)",relu,adam,0.22935139523264148,constant,7500,True,13,0.0033057381644264862,-0.8870523253413586,0.10958529012351503,105
79,"(175, 275, 350, 275)",relu,adam,0.811304176736003,constant,7500,True,14,0.0049059528191195715,-0.8911848036245612,0.09203265035436001,106
119,"(500, 400, 400, 375, 100)",relu,adam,0.02228474203030163,adaptive,7500,True,13,0.0027008175055599666,-0.9027237953230258,0.11922800314601213,107
88,"(425, 100, 450, 300, 375, 400)",relu,adam,0.3893016787341631,constant,7500,True,12,0.0005564333839306678,-1.0346046720553566,0.7334752686873914,108
2,"(400, 275, 75, 450, 450, 275)",relu,adam,0.6012150117432088,invscaling,7500,True,13,0.004949549260809972,-1.0597366973491367,0.6972783813276286,109
177,"(475, 400, 425, 450, 350, 75)",relu,adam,0.6514672109882461,invscaling,7500,True,13,0.00222065335651193,-1.0640719460166959,0.7157874636556839,110
189,"(175, 50, 300, 275, 400)",relu,adam,0.21000559309558575,adaptive,7500,True,13,0.003224879935255261,-1.0671922834088996,0.7037302995013188,111
19,"(175, 450, 350, 75, 50, 350)",relu,adam,0.27482179299006415,constant,7500,True,14,0.004958560476945519,-1.070529713786855,0.7025786750512769,112
18,"(75, 275, 475, 475)",relu,adam,0.09551011649041131,adaptive,7500,True,12,0.0030564889385386357,-1.0784443551858838,0.6626117983139251,113
87,"(150, 400, 425, 75, 400)",relu,adam,0.9026529066795667,constant,7500,True,13,0.004577616142481002,-1.0838567023242038,0.7123528801849157,114
16,"(300, 475, 475, 75, 400)",relu,adam,0.014179822715084455,invscaling,7500,True,14,0.0031297998739050568,-1.0845275573111104,0.726005955614898,115
110,"(200, 450, 375, 450, 350, 75)",relu,adam,0.822637242923169,invscaling,7500,True,12,0.004695882759177798,-1.090025106314793,0.7077590715211715,116
103,"(400, 400, 475, 150, 50, 150)",relu,adam,0.5278011090862998,constant,7500,True,14,0.004946512678095495,-1.1093399007246092,0.7865130062178878,117
26,"(300, 75, 500, 200, 100)",relu,adam,0.8037720768991145,adaptive,7500,True,13,0.0017217251050263699,-1.1112475430044788,0.8290922751721437,118
207,"(275, 425, 475, 200, 75)",relu,adam,0.13237621112533038,constant,7500,True,13,0.003515919282227407,-1.1149365133413325,0.7595845585409303,119
147,"(50, 50, 150, 200)",relu,adam,0.1734735952947548,constant,7500,True,14,0.0027225569478512733,-1.134477681980729,0.7851221764174927,120
114,"(50, 175, 425, 400, 375, 500)",relu,adam,0.06361182959000135,invscaling,7500,True,12,0.00038187748325463556,-1.2844140132687563,0.9826725288925123,121
183,"(500, 100, 400, 400, 350, 475)",relu,adam,0.9199556164127605,invscaling,7500,True,13,0.003787506240548742,-1.2977920286401274,0.9722508049588703,122
40,"(75, 250, 450, 75, 450)",relu,adam,0.9368299887367345,invscaling,7500,True,12,0.0011453581036885685,-1.3106366244605938,0.9515040786495405,123
4,"(175, 450, 500, 400, 50, 500)",relu,adam,0.5248564316322378,constant,7500,True,14,0.002099304858576277,-1.3109083478861605,0.9440718513562203,124
134,"(275, 475, 450, 475, 275, 375)",relu,adam,0.687884717096083,adaptive,7500,True,14,0.0019864298262103628,-1.3142231757980691,0.9928817751271376,125
224,"(175, 175, 450, 300, 200, 175)",relu,adam,0.6923765645178525,constant,7500,True,13,0.0033333245955858167,-1.3176442245199946,0.941271471114456,126
149,"(200, 350, 175, 350, 475)",relu,adam,0.9174956130855316,adaptive,7500,True,13,0.002553743896293922,-1.3436651772327857,0.9904019072323146,127
86,"(100, 500, 400, 475, 400, 175)",relu,adam,0.42909402737501834,invscaling,7500,True,12,0.000615619344179663,-1.3442771381283716,0.9821728148335092,128
23,"(75, 275, 475, 475)",relu,adam,0.6956160864261275,invscaling,7500,True,12,0.0038777556927152433,-1.3493423324744995,0.9668248500297169,129
150,"(150, 400, 425, 75, 400)",relu,adam,0.7229960966217757,constant,7500,True,13,0.0027751836602245526,-1.3513691579722376,0.9614120218994124,130
169,"(175, 500, 400, 450, 200, 500)",relu,adam,0.033632434735779385,adaptive,7500,True,13,0.004483828183808747,-1.3639587270269513,0.9222175533922092,131
27,"(175, 450, 500, 400, 50, 500)",relu,adam,0.12218795470067335,invscaling,7500,True,13,0.0014606612469231766,-1.5826875796354707,1.1517257614059848,132
198,"(75, 375, 400, 300, 500)",relu,adam,0.9445097255772734,constant,7500,True,13,0.001719950305533998,-1.8251295026175023,1.193877221333105,133
113,"(175, 450, 500, 400, 50, 500)",relu,adam,0.749678299976072,adaptive,7500,True,14,0.002945407345828738,-1.842569793720885,1.2799692505408515,134
14,"(175, 450, 500, 400, 50, 500)",relu,adam,0.5868511656638482,constant,7500,True,12,0.004110984903770198,-1.8703332506529882,1.2480103585028397,135
197,"(50, 350, 425, 400, 250)",relu,adam,0.09954139275934516,adaptive,7500,True,13,0.0049132465927743734,-2.5933571956215924,1.1166220214690254,136
245,"(50, 175, 425, 400, 375, 500)",relu,adam,0.8838858849634257,adaptive,7500,True,12,0.0014011668397576366,-2.7620432588482955,0.9925795751499504,137
90,"(50, 175, 425, 400, 375, 500)",relu,adam,0.44854552197831976,constant,7500,True,14,0.0038618726471884,-2.8276035772086785,0.9603338301549776,138
205,"(300, 475, 475, 75, 400)",relu,sgd,0.42531350446923344,adaptive,7500,True,12,0.003594229265804522,,,139
246,"(200, 450, 375, 450, 350, 75)",relu,sgd,0.5153479243147259,adaptive,7500,True,12,0.0045871807402310194,,,139
179,"(75, 275, 375, 400)",relu,sgd,0.11333804584075526,adaptive,7500,True,13,0.0007233134060163343,,,139
229,"(500, 375, 175, 100, 500, 450)",relu,sgd,0.6446466506258222,invscaling,7500,True,14,0.0007028344288863941,,,139
228,"(400, 50, 400, 250, 175)",relu,sgd,0.47431421665746376,invscaling,7500,True,14,0.0027121728803558448,,,139
208,"(200, 425, 425, 275, 400)",relu,sgd,0.8226838759116739,adaptive,7500,True,12,0.00043587699957855044,,,139
213,"(375, 500, 375, 300)",relu,sgd,0.9587271773132205,invscaling,7500,True,12,0.003954929627677393,,,139
210,"(275, 450, 350, 300, 400, 425)",relu,sgd,0.2637838026346164,adaptive,7500,True,14,0.001353653302807989,,,139
212,"(150, 400, 425, 75, 400)",relu,sgd,0.4044815015490243,adaptive,7500,True,13,0.0018693568828062473,,,139
176,"(300, 275, 450, 500, 475)",relu,sgd,0.6115542354346478,invscaling,7500,True,12,0.00021511302393818757,,,139
225,"(275, 75, 350, 75)",relu,sgd,0.6932752114569247,invscaling,7500,True,13,0.0047262415870783295,,,139
222,"(50, 50, 150, 200)",relu,sgd,0.9503373538208024,constant,7500,True,14,0.0028095047368917906,,,139
215,"(425, 50, 250, 450, 475)",relu,sgd,0.5665046402968972,invscaling,7500,True,14,0.00478414869662379,,,139
175,"(425, 100, 450, 300, 375, 400)",relu,sgd,0.2880296164757261,adaptive,7500,True,12,0.00262944339442233,,,139
209,"(150, 350, 100, 275)",relu,sgd,0.40534808802768874,invscaling,7500,True,12,0.000800092693302245,,,139
181,"(350, 50, 275, 100)",relu,sgd,0.39910270387013025,constant,7500,True,12,0.004114267242990057,,,139
193,"(175, 175, 150, 375)",relu,sgd,0.37340931627975293,invscaling,7500,True,13,0.0021436708554904817,,,139
182,"(100, 100, 175, 100, 200, 75)",relu,sgd,0.004732023004602859,invscaling,7500,True,14,0.0027869780146896144,,,139
196,"(375, 50, 275, 75, 450, 175)",relu,sgd,0.10420858198457385,invscaling,7500,True,12,0.0012909139052336327,,,139
191,"(275, 100, 75, 100)",relu,sgd,0.4533888347480276,adaptive,7500,True,12,0.0025850597441062447,,,139
220,"(300, 75, 500, 200, 100)",relu,sgd,0.8192023176741997,invscaling,7500,True,13,0.0030511533343454355,,,139
188,"(425, 175, 350, 150, 75, 475)",relu,sgd,0.18456287141885608,constant,7500,True,12,0.003849802351995889,,,139
187,"(275, 500, 100, 300, 75)",relu,sgd,0.9756413156827562,adaptive,7500,True,13,0.002775348594668293,,,139
236,"(175, 450, 450, 250, 250, 175)",relu,sgd,0.33647046382842205,constant,7500,True,12,0.00011673181021489611,,,139
235,"(425, 275, 150, 475, 100)",relu,sgd,0.47997562030390883,invscaling,7500,True,12,0.0005584966755571507,,,139
244,"(400, 375, 175, 475, 150)",relu,sgd,0.7796844735667533,constant,7500,True,12,0.004945513150704057,,,139
200,"(75, 350, 400, 200)",relu,sgd,0.1228768896627085,constant,7500,True,13,0.00465312001770152,,,139
185,"(500, 500, 400, 425)",relu,sgd,0.5777319540915472,adaptive,7500,True,12,0.001657365855663787,,,139
240,"(175, 175, 450, 300, 200, 175)",relu,sgd,0.08951100231225952,invscaling,7500,True,14,0.0031039922322109903,,,139
241,"(425, 50, 250, 450, 475)",relu,sgd,0.9038239671752705,constant,7500,True,14,0.0004249320474144701,,,139
233,"(100, 500, 400, 475, 400, 175)",relu,sgd,0.9904413133417771,constant,7500,True,13,0.004762949547126265,,,139
202,"(450, 375, 150, 500)",relu,sgd,0.034328110820529126,constant,7500,True,12,0.003969172616006701,,,139
203,"(475, 50, 375, 175)",relu,sgd,0.3628578946659454,invscaling,7500,True,13,0.003998793873940154,,,139
237,"(100, 50, 450, 300)",relu,sgd,0.46741076653765257,adaptive,7500,True,13,0.0030455426723544742,,,139
201,"(375, 75, 500, 350, 100, 425)",relu,sgd,0.6248612710432511,adaptive,7500,True,14,0.0019152960609754527,,,139
216,"(250, 300, 350, 250)",relu,sgd,0.7326720972102503,adaptive,7500,True,14,0.0009100693894579232,,,139
0,"(475, 200, 275, 75)",relu,sgd,0.3746401188473625,invscaling,7500,True,14,0.003093292420985183,,,139
171,"(275, 475, 450, 475, 275, 375)",relu,sgd,0.1275886623319824,invscaling,7500,True,12,0.000849587136743869,,,139
47,"(175, 450, 350, 75, 50, 350)",relu,sgd,0.4857137535862266,constant,7500,True,12,0.0036608961067376793,,,139
52,"(175, 200, 75, 275)",relu,sgd,0.4992933798847523,invscaling,7500,True,12,0.0009855533970352446,,,139
53,"(475, 200, 275, 75)",relu,sgd,0.9405585843529143,adaptive,7500,True,12,0.0019507935012772221,,,139
54,"(400, 275, 75, 450, 450, 275)",relu,sgd,0.015556616528867428,constant,7500,True,12,0.0049332740952183485,,,139
56,"(375, 50, 275, 75, 450, 175)",relu,sgd,0.2685748568901568,adaptive,7500,True,12,0.004780773870803905,,,139
57,"(500, 300, 450, 275)",relu,sgd,0.696129796674973,adaptive,7500,True,14,0.0018932339064808195,,,139
58,"(500, 100, 400, 400, 350, 475)",relu,sgd,0.25426364906973875,adaptive,7500,True,12,0.0035850787049763397,,,139
59,"(50, 75, 75, 350, 100)",relu,sgd,0.7025840839871093,invscaling,7500,True,12,0.004146805777392569,,,139
61,"(375, 500, 375, 300)",relu,sgd,0.7983951789667751,adaptive,7500,True,13,0.0045330857447533,,,139
63,"(300, 300, 450, 500)",relu,sgd,0.46569801813246015,adaptive,7500,True,12,0.003054166302845054,,,139
67,"(100, 50, 450, 300)",relu,sgd,0.1328454222429698,invscaling,7500,True,12,0.0014541612563103712,,,139
68,"(50, 50, 150, 200)",relu,sgd,0.4390714207056361,adaptive,7500,True,12,0.004913242073389626,,,139
69,"(450, 425, 350, 425)",relu,sgd,0.8360801205122058,constant,7500,True,12,0.004676068638132403,,,139
70,"(50, 350, 425, 400, 250)",relu,sgd,0.44245222973110443,adaptive,7500,True,13,0.0010143299855365367,,,139
71,"(75, 250, 450, 75, 450)",relu,sgd,0.9347139973397097,constant,7500,True,14,0.002871770262557003,,,139
46,"(400, 275, 500, 400, 500, 150)",relu,sgd,0.9402334424577784,constant,7500,True,13,0.0016268193017219673,,,139
