,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
165,359,uniform,ball_tree,8,19.45210193563773,euclidean,-1.8152458282115032,0.0064843307626578075,220
105,359,uniform,ball_tree,279,11.31238688359326,euclidean,-1.8152458282115032,0.0064843307626578075,220
141,362,uniform,ball_tree,351,92.31657522576428,euclidean,-1.8165293049036166,0.00662120241393586,222
152,476,distance,ball_tree,166,92.0471278403273,euclidean,-1.817089619310768,0.003834993629930035,223
313,481,distance,kd_tree,206,26.868833069790796,euclidean,-1.8177407305315878,0.0038459211904067793,224
212,485,distance,kd_tree,210,2.811018382084051,euclidean,-1.818353557714077,0.0037498853544775954,225
468,487,distance,kd_tree,256,37.77593508772896,euclidean,-1.8188969837144238,0.003978770585193389,226
143,370,uniform,ball_tree,78,26.144243951179845,euclidean,-1.8196930532344875,0.006427627717807173,227
495,492,distance,brute,457,44.2076882944196,euclidean,-1.820451924642177,0.003907967613669907,228
187,495,distance,brute,356,60.388309755789884,euclidean,-1.8213442538598308,0.004000097279399709,229
299,499,distance,ball_tree,120,4.486516023382491,euclidean,-1.8221509008407888,0.0037121385711805658,230
100,395,uniform,kd_tree,115,12.816482762165625,euclidean,-1.8297204334778967,0.006014687012366044,231
357,396,uniform,kd_tree,356,88.18327789731212,euclidean,-1.830172966412117,0.005731509931674278,232
243,408,uniform,ball_tree,303,34.58658571498351,euclidean,-1.8340494511285463,0.004966599837363213,233
52,412,uniform,kd_tree,120,86.09284487675127,euclidean,-1.8352177040252413,0.0049317608248925565,234
482,420,uniform,ball_tree,467,99.82752710001313,euclidean,-1.838511942564979,0.004992045425155826,235
46,421,uniform,brute,308,40.75720210875223,euclidean,-1.8388037197602993,0.0053214771387551305,236
139,421,uniform,brute,177,47.86931597949703,euclidean,-1.8388037197602993,0.0053214771387551305,236
264,431,uniform,ball_tree,217,60.82860582681546,euclidean,-1.8416219545592418,0.005654110373112948,238
499,435,uniform,ball_tree,268,26.224102017336158,euclidean,-1.8429210100719455,0.005449532605760464,239
30,66,distance,kd_tree,170,64.34037565104234,euclidean,-1.8461062331196998,0.10754301863548317,240
108,459,uniform,brute,76,96.68008851264564,euclidean,-1.8487975820968914,0.0023980110387054705,241
270,470,uniform,kd_tree,200,49.942496364314046,euclidean,-1.851994534751486,0.0026787340412884955,242
85,491,uniform,ball_tree,272,66.71113285001668,euclidean,-1.8564206844236542,0.0032379221051251216,243
247,132,distance,brute,494,19.210713882158323,minkowski,-1.857287672296541,0.01903030439061917,244
66,132,distance,ball_tree,256,38.26868670940493,minkowski,-1.8576708762740526,0.01997190123923552,245
20,494,uniform,ball_tree,379,36.84657285442726,euclidean,-1.85772075657095,0.003450555422397749,246
233,135,distance,ball_tree,55,38.330931627975296,minkowski,-1.8594618692527516,0.019299884236551646,247
31,132,distance,kd_tree,446,81.74401551640625,minkowski,-1.8595898770813382,0.018963426697410468,248
418,145,distance,kd_tree,47,61.16118201463312,minkowski,-1.8614625863466305,0.01740648506674505,249
254,138,distance,brute,313,74.21845784590624,minkowski,-1.8622311774616667,0.016323016091466625,250
434,164,distance,ball_tree,428,55.00119146045106,minkowski,-1.8625268978015914,0.013699738970504248,251
447,184,distance,ball_tree,331,28.970353847147923,minkowski,-1.8656376518733473,0.011064566490128458,252
75,194,distance,ball_tree,186,29.65412521282844,minkowski,-1.8671770788544084,0.010876699565923494,253
29,191,distance,ball_tree,160,70.47849330397045,minkowski,-1.868382028028109,0.011217783455115388,254
204,293,distance,ball_tree,411,4.353243473577939,minkowski,-1.869265602151982,0.00798315739528929,255
