,param_alpha,param_fit_prior,mean_test_score,std_test_score,rank_test_score
100,0.9082658859666537,False,0.50090381666748,0.0059095731969711915,1048
355,0.9131657522576428,False,0.50090381666748,0.0059095731969711915,1048
302,0.906354385094736,False,0.50090381666748,0.0059095731969711915,1048
1081,0.5804750067166746,True,0.5008450751398879,0.011143457660781743,1054
1004,0.5801723692273323,True,0.5008450751398879,0.011143457660781743,1054
626,0.5765164755142536,True,0.500827830610481,0.01115632992682738,1056
1470,0.9180765521991506,False,0.5007348261324094,0.007393075806653483,1057
865,0.951549974355327,False,0.5007125102498724,0.007689312172826815,1058
165,0.5722924691708383,True,0.5007054163274776,0.01077753398624255,1059
1109,0.5745873823177666,True,0.5005488363395939,0.01097206494103768,1060
1121,0.5730414289308493,True,0.5005488363395939,0.01097206494103768,1060
1284,0.5882022669483905,True,0.5004512469680968,0.009184767546537232,1062
953,0.580112229695468,True,0.5003987136999555,0.011505340150134094,1063
215,0.9346139973397097,False,0.5003942838054066,0.007723922921896055,1064
479,0.9329380670999546,False,0.5003942838054066,0.007723922921896055,1064
538,0.9255685129067763,False,0.5003942838054066,0.007723922921896055,1064
946,0.9338750175279049,False,0.5003942838054066,0.007723922921896055,1064
456,0.9293759891275858,False,0.5003942838054066,0.007723922921896055,1064
983,0.9256748308807118,False,0.5003942838054066,0.007723922921896055,1064
664,0.9173135754622428,False,0.500269467943474,0.006610309426508745,1070
1001,0.9142365159514699,False,0.500269467943474,0.006610309426508745,1070
53,0.9149596755437808,False,0.500269467943474,0.006610309426508745,1070
1052,0.6070940360887808,True,0.5001692273282095,0.01098378550623048,1073
1057,0.5970469168956917,True,0.5001658407486085,0.009441356291660223,1074
835,0.598327265122427,True,0.5001658407486085,0.009441356291660223,1074
36,0.5978999788110851,True,0.5001658407486085,0.009441356291660223,1074
875,0.5974758626319301,True,0.5001658407486085,0.009441356291660223,1074
413,0.5972780822554306,True,0.5001658407486085,0.009441356291660223,1074
1281,0.029071380343953734,True,0.5000642630543737,0.019759806499977783,1079
901,0.5880583780900792,True,0.4999892210269916,0.009811549760174716,1080
524,0.5833917947661205,True,0.4999892210269916,0.009811549760174716,1080
602,0.5830415609696922,True,0.4999892210269916,0.009811549760174716,1080
971,0.9186777969935043,False,0.49993243857239006,0.008241616696394428,1083
1108,0.9193919732144173,False,0.49993243857239006,0.008241616696394428,1083
832,0.9208478478156868,False,0.49993243857239006,0.008241616696394428,1083
542,0.9208418826173723,False,0.49993243857239006,0.008241616696394428,1083
410,0.9208724005318132,False,0.49993243857239006,0.008241616696394428,1083
340,0.6134151959357899,True,0.4998712584547361,0.011858307661668488,1088
163,0.9530718470239532,False,0.49985066305970793,0.008826265327314746,1089
160,0.9404585843529143,False,0.4998379493196682,0.008213500055165617,1090
51,0.6059599747810114,True,0.4997346791760336,0.010692621695082675,1091
1406,0.9835214727152221,False,0.4996559531943074,0.010783014406994411,1092
1416,0.9841103190364978,False,0.4996559531943074,0.010783014406994411,1092
1034,0.6016118201463312,True,0.4992518744306542,0.010444687791653794,1094
996,0.6034485933813779,True,0.4992518744306542,0.010444687791653794,1094
723,0.600798446442198,True,0.4992518744306542,0.010444687791653794,1094
645,0.6104046670079576,True,0.49920098189311063,0.012120686852951703,1097
1328,0.6102251494776413,True,0.49920098189311063,0.012120686852951703,1097
27,0.6099966577826209,True,0.49920098189311063,0.012120686852951703,1097
470,0.9899602323899452,False,0.49912558010979646,0.011084331688795971,1100
1079,0.995480490704257,False,0.49912558010979646,0.011084331688795971,1100
