,param_n_neighbors,param_weights,param_algorithm,param_leaf_size,param_p,param_metric,mean_test_score,std_test_score,rank_test_score
116,12,distance,kd_tree,288,68.11435168240506,manhattan,-0.7667967088201857,0.057045722823008585,120
54,12,distance,kd_tree,225,28.213224938463533,manhattan,-0.7667967088201857,0.057045722823008585,120
51,12,distance,ball_tree,134,46.653457048291024,manhattan,-0.7667967088201857,0.057045722823008585,120
479,12,distance,ball_tree,4,80.07231648389636,manhattan,-0.7667967088201857,0.057045722823008585,120
110,12,distance,kd_tree,181,58.229246917083834,manhattan,-0.7667967088201857,0.057045722823008585,120
122,12,distance,ball_tree,316,52.13423988609378,manhattan,-0.7667967088201857,0.057045722823008585,120
45,12,distance,ball_tree,96,70.55160864261275,manhattan,-0.7667967088201857,0.057045722823008585,120
124,12,distance,ball_tree,264,71.19668772577033,manhattan,-0.7667967088201857,0.057045722823008585,120
452,12,distance,ball_tree,129,50.549131620619846,manhattan,-0.7667967088201857,0.057045722823008585,120
42,12,distance,ball_tree,207,43.75410183585496,manhattan,-0.7667967088201857,0.057045722823008585,120
84,12,distance,ball_tree,2,100.62536997579244,manhattan,-0.7667967088201857,0.057045722823008585,120
129,12,distance,ball_tree,150,60.08332605690107,manhattan,-0.7667967088201857,0.057045722823008585,120
130,12,distance,kd_tree,305,4.734818874921442,manhattan,-0.7667967088201857,0.057045722823008585,120
482,12,distance,kd_tree,311,47.19428505755876,manhattan,-0.7667967088201857,0.057045722823008585,120
48,12,distance,ball_tree,160,60.8865466488536,manhattan,-0.7667967088201857,0.057045722823008585,120
40,12,distance,ball_tree,5,57.127719756949624,manhattan,-0.7667967088201857,0.057045722823008585,120
109,12,distance,ball_tree,280,34.07503046705137,manhattan,-0.7667967088201857,0.057045722823008585,120
59,12,distance,kd_tree,172,25.412552224777418,manhattan,-0.7667967088201857,0.057045722823008585,120
468,12,distance,ball_tree,86,92.54882975880419,manhattan,-0.7667967088201857,0.057045722823008585,120
190,12,distance,ball_tree,181,50.442030470258146,manhattan,-0.7667967088201857,0.057045722823008585,120
471,12,distance,kd_tree,315,95.42664891134339,manhattan,-0.7667967088201857,0.057045722823008585,120
464,12,distance,ball_tree,268,23.120944181960223,manhattan,-0.7667967088201857,0.057045722823008585,120
463,12,distance,kd_tree,200,25.966800885918595,manhattan,-0.7667967088201857,0.057045722823008585,120
472,12,distance,kd_tree,223,87.20426509893134,manhattan,-0.7667967088201857,0.057045722823008585,120
74,12,distance,ball_tree,201,33.07800649717358,manhattan,-0.7667967088201857,0.057045722823008585,120
462,12,distance,ball_tree,215,73.41033292731386,manhattan,-0.7667967088201857,0.057045722823008585,120
58,12,distance,kd_tree,165,70.24360328902704,manhattan,-0.7667967088201857,0.057045722823008585,120
96,12,distance,ball_tree,304,75.64914051180241,manhattan,-0.7667967088201857,0.057045722823008585,120
69,12,distance,kd_tree,160,56.28930890713279,manhattan,-0.7667967088201857,0.057045722823008585,120
476,12,distance,ball_tree,98,89.4998356523281,manhattan,-0.7667967088201857,0.057045722823008585,120
67,12,distance,ball_tree,224,91.82658859666537,manhattan,-0.7667967088201857,0.057045722823008585,120
66,12,distance,kd_tree,220,6.147875124998935,manhattan,-0.7667967088201857,0.057045722823008585,120
65,12,distance,ball_tree,187,61.956433397989684,manhattan,-0.7667967088201857,0.057045722823008585,120
64,12,distance,ball_tree,101,29.484049437746762,manhattan,-0.7667967088201857,0.057045722823008585,120
63,12,distance,kd_tree,295,50.72485058923854,manhattan,-0.7667967088201857,0.057045722823008585,120
61,12,distance,ball_tree,180,37.3629602379294,manhattan,-0.7667967088201857,0.057045722823008585,120
98,12,distance,ball_tree,176,10.367476782809248,manhattan,-0.7667967088201857,0.057045722823008585,120
131,12,distance,kd_tree,271,37.019064141126286,manhattan,-0.7667967088201857,0.057045722823008585,120
128,12,distance,ball_tree,186,55.26446347075766,manhattan,-0.7667967088201857,0.057045722823008585,120
484,12,distance,ball_tree,141,39.39638899197257,manhattan,-0.7667967088201857,0.057045722823008585,120
15,12,distance,kd_tree,242,39.54165025399161,manhattan,-0.7667967088201857,0.057045722823008585,120
12,12,distance,ball_tree,131,86.99404067363206,manhattan,-0.7667967088201857,0.057045722823008585,120
161,12,distance,kd_tree,163,65.32882184423532,manhattan,-0.7667967088201857,0.057045722823008585,120
163,12,distance,ball_tree,268,39.610263780077425,manhattan,-0.7667967088201857,0.057045722823008585,120
133,12,distance,ball_tree,103,9.5347464993768,manhattan,-0.7667967088201857,0.057045722823008585,120
168,12,distance,kd_tree,264,39.539662096556505,manhattan,-0.7667967088201857,0.057045722823008585,120
493,12,distance,ball_tree,153,28.726564569677357,manhattan,-0.7667967088201857,0.057045722823008585,120
7,12,distance,kd_tree,253,44.194501864211574,manhattan,-0.7667967088201857,0.057045722823008585,120
440,12,distance,kd_tree,310,74.80336164263704,manhattan,-0.7667967088201857,0.057045722823008585,120
173,12,distance,ball_tree,249,55.79718832480873,manhattan,-0.7667967088201857,0.057045722823008585,120
178,12,distance,ball_tree,183,76.08710677914974,manhattan,-0.7667967088201857,0.057045722823008585,120
437,12,distance,ball_tree,309,18.53712786234496,manhattan,-0.7667967088201857,0.057045722823008585,120
6,12,distance,ball_tree,161,31.42422429595377,manhattan,-0.7667967088201857,0.057045722823008585,120
183,12,distance,ball_tree,233,85.71431440955898,manhattan,-0.7667967088201857,0.057045722823008585,120
5,12,distance,kd_tree,294,1.0778765841014328,manhattan,-0.7667967088201857,0.057045722823008585,120
156,12,distance,kd_tree,180,38.46126146264712,manhattan,-0.7667967088201857,0.057045722823008585,120
155,12,distance,kd_tree,246,64.50936508676438,manhattan,-0.7667967088201857,0.057045722823008585,120
164,12,distance,ball_tree,168,91.53506419560637,manhattan,-0.7667967088201857,0.057045722823008585,120
18,12,distance,ball_tree,264,4.43885211152184,manhattan,-0.7667967088201857,0.057045722823008585,120
491,12,distance,ball_tree,142,30.70028764548822,manhattan,-0.7667967088201857,0.057045722823008585,120
487,12,distance,kd_tree,245,48.97813268565048,manhattan,-0.7667967088201857,0.057045722823008585,120
145,12,distance,ball_tree,272,52.66962574265666,manhattan,-0.7667967088201857,0.057045722823008585,120
25,12,distance,ball_tree,190,33.53303307632643,manhattan,-0.7667967088201857,0.057045722823008585,120
27,12,distance,kd_tree,217,29.093450968738075,manhattan,-0.7667967088201857,0.057045722823008585,120
140,12,distance,ball_tree,318,84.59801205122058,manhattan,-0.7667967088201857,0.057045722823008585,120
447,12,distance,ball_tree,250,4.118313506128468,manhattan,-0.7667967088201857,0.057045722823008585,120
